id,element,useCase,type,component
1,User :Homepage,View Tutorial Video,boundary,Homepage
2,User :View Turorial video page,View Tutorial Video,boundary,Chooseoneofallvideos
3,Choose one of all videos:Show  tutorial video information,View Tutorial Video,control,Showconfirmation
4,View Turorial video page:Choose one of all videos,View Tutorial Video,boundary,Chooseoneofallvideos
5,Show  tutorial video information:Homepage,View Tutorial Video,boundary,Homepage
6,Show  tutorial video information:View Turorial video page,View Tutorial Video,boundary,Chooseoneofallvideos
7,stl#User :Homepage,View Tutorial Video,Stimulus,undefined
8,stl#User :View Turorial video page,View Tutorial Video,Stimulus,undefined
