id,attribute,type,element
1,createAt,EAJava_timeStamp,Event
2,details,EAJava_String,Event
3,location,EAJava_String,Event
4,name,EAJava_String,Event
5,notificationTime,EAJava_timeStamp,Event
6,picture,EAJava_String,Event
7,pointForJoining,EAJava_int,Event
8,startTime,EAJava_timeStamp,Event
9,updateAt,EAJava_timeStamp,Event
10,createAt,EAJava_timeStamp,Item
11,itemDetail,EAJava_String,Item
12,itemName,EAJava_String,Item
13,pictureURL,EAJava_String,Item
14,purchasePoint,EAJava_integer,Item
15,status,EAJava_int,Item
16,updateAt,EAJava_timeStamp,Item
17,categoryCode,EAJava_String,ItemCategory
18,categoryName,EAJava_String,ItemCategory
19,message,EAJava_String,Notification
20,sendBy,EAJava_String,Notification
21,time,EAJava_timeStamp,Notification
22,id,EAJava_integer,Notification Type
23,type,EAJava_String,Notification Type
24,author,EAJava_String,Post
25,createAt,EAJava_timeStamp,Post
26,details,EAJava_String,Post
27,updateAt,EAJava_timeStamp,Post
28,undefined,EAID_DB0CEA73_C685_4a84_A60A_8AAE415217D5,SearchUtil
29,author,EAJava_String,Thread
30,category,EAJava_String,Thread
31,creatAt,EAJava_timeStamp,Thread
32,detail,EAJava_String,Thread
33,topic,EAJava_String,Thread
34,updateAt,EAJava_timeStamp,Thread
35,categoryCode,EAJava_String,ThreadCategory
36,categoryName,EAJava_String,ThreadCategory
37,degree,EAJava_String,User
38,email,EAJava_String,User
39,firstName,EAJava_String,User
40,joinDate,EAJava_String,User
41,lastName,EAJava_String,User
42,lifeTime,EAJava_int,User
43,password,EAJava_String,User
44,pictureURL,EAJava_String,User
45,school,EAJava_String,User
46,semester,EAJava_int,User
47,summaryProfile,EAJava_String,User
48,usable,EAJava_int,User
