id,element,useCase,type,component
1,User:like thread button,Like a thread or a post,entity,Thread
2,User:like post button,Like a thread or a post,entity,Post
3,User:grayed out post like button,Like a thread or a post,entity,Post
4,User:thread is liked message,Like a thread or a post,entity,Thread
5,User:Invalid search input,Like a thread or a post,control,SearchUtil
6,User:post is liked message,Like a thread or a post,control,savethelikestatus
7,User:grayed out thread like button,Like a thread or a post,entity,Thread
8,validate search input:Invalid search input,Like a thread or a post,control,SearchUtil
9,save the like status:Like information,Like a thread or a post,entity,Notification
10,calculate points of the owner:point,Like a thread or a post,entity,Post
11,calculate points of the owner:thread is liked message,Like a thread or a post,entity,Thread
12,calculate points of the owner:post is liked message,Like a thread or a post,control,savethelikestatus
13,update like number of thread:calculate points of the owner,Like a thread or a post,control,ItemCategoryController
14,update like number of the post:calculate points of the owner,Like a thread or a post,control,ItemCategoryController
15,validate search input:calculate points of the owner,Like a thread or a post,control,ItemCategoryController
16,update like number of the post:grayed out post like button,Like a thread or a post,entity,Post
17,update like number of thread:grayed out thread like button,Like a thread or a post,entity,Thread
18,like post button:save the like status,Like a thread or a post,control,savethelikestatus
19,like thread button:save the like status,Like a thread or a post,control,savethelikestatus
20,update like number of the post:post,Like a thread or a post,entity,Post
21,save the like status:update like number of the post,Like a thread or a post,control,savethelikestatus
22,save the like status:update like number of thread,Like a thread or a post,control,ThreadCategory
23,update like number of thread:thread,Like a thread or a post,entity,Thread
24,thread is liked message:validate search input,Like a thread or a post,control,SearchUtil
25,stl#User:like thread button,Like a thread or a post,Stimulus,undefined
26,stl#User:like post button,Like a thread or a post,Stimulus,undefined
27,stl#User:grayed out post like button,Like a thread or a post,Stimulus,undefined
28,stl#User:thread is liked message,Like a thread or a post,Stimulus,undefined
29,stl#User:Invalid search input,Like a thread or a post,Stimulus,undefined
30,stl#User:post is liked message,Like a thread or a post,Stimulus,undefined
31,stl#User:grayed out thread like button,Like a thread or a post,Stimulus,undefined
32,User:comment is posted successfully message,Post to a specific thread on forum,boundary,PostController
33,User:Forum page,Post to a specific thread on forum,control,Forumpage
34,User:error in the posted comment,Post to a specific thread on forum,boundary,PostController
35,User:Post comment page,Post to a specific thread on forum,entity,Post
36,Forum page:query thread detail,Post to a specific thread on forum,entity,Thread
37,Post comment page:validate the posted comment,Post to a specific thread on forum,boundary,PostController
38,load comment input field:Post comment page,Post to a specific thread on forum,entity,Post
39,save comment:comment,Post to a specific thread on forum,control,Event
40,save comment:comment is posted successfully message,Post to a specific thread on forum,boundary,PostController
41,save comment:error in the posted comment,Post to a specific thread on forum,boundary,PostController
42,load comment input field:like,Post to a specific thread on forum,entity,like
43,query thread detail:load comment input field,Post to a specific thread on forum,boundary,loadcommentinputfield
44,query thread detail:thread,Post to a specific thread on forum,entity,Thread
45,validate the posted comment:save comment,Post to a specific thread on forum,control,Event
46,stl#User:comment is posted successfully message,Post to a specific thread on forum,Stimulus,undefined
47,stl#User:Forum page,Post to a specific thread on forum,Stimulus,undefined
48,stl#User:error in the posted comment,Post to a specific thread on forum,Stimulus,undefined
49,stl#User:Post comment page,Post to a specific thread on forum,Stimulus,undefined
50,User:redeem success message,Redeem gift items,control,Redemption
51,User:Redeem gift option,Redeem gift items,control,Redemption
52,User:Online store page,Redeem gift items,control,Forumpage
53,User:Point is not enough message,Redeem gift items,boundary,loadcommentinputfield
54,Online store page:check if the user has enough points,Redeem gift items,entity,User
55,load store details:Online store page,Redeem gift items,control,Forumpage
56,check if the user has enough points:Point is not enough message,Redeem gift items,boundary,loadcommentinputfield
57,Redeem gift option:direct to online store page,Redeem gift items,control,StoreController
58,check if the user has enough points:user,Redeem gift items,entity,User
59,check if the user has enough points:decrease the points,Redeem gift items,entity,Thread
60,decrease the itme num in store:redeem success message,Redeem gift items,control,Redemption
61,decrease the itme num in store:store,Redeem gift items,control,StoreController
62,decrease the points:decrease the itme num in store,Redeem gift items,control,StoreController
63,decrease the points:user,Redeem gift items,entity,User
64,decrease the points:like,Redeem gift items,entity,like
65,direct to online store page:load store details,Redeem gift items,control,StoreController
66,load store details:store,Redeem gift items,control,StoreController
67,stl#User:redeem success message,Redeem gift items,Stimulus,undefined
68,stl#User:Redeem gift option,Redeem gift items,Stimulus,undefined
69,stl#User:Online store page,Redeem gift items,Stimulus,undefined
70,stl#User:Point is not enough message,Redeem gift items,Stimulus,undefined
71,User:search form page,Search the forum,control,Forumpage
72,User:No result matched message,Search the forum,boundary,Noresultmatchedmessage
73,User:search forum button,Search the forum,control,SearchUtil
74,User:Thread is posted successfully,Search the forum,entity,Thread
75,User:Invalid search input,Search the forum,control,SearchUtil
76,Check SQL injections:save thread,Search the forum,entity,Thread
77,Check SQL injections:Invalid search input,Search the forum,control,SearchUtil
78,search forum by input information:Check SQL injections,Search the forum,control,Redemption
79,validate search input:Invalid search input,Search the forum,control,SearchUtil
80,search forum by input information:No result matched message,Search the forum,boundary,Noresultmatchedmessage
81,save thread:Thread is posted successfully,Search the forum,entity,Thread
82,search forum by input information:forum,Search the forum,control,Forumpage
83,save thread:forum,Search the forum,control,Forumpage
84,load search form page:search form page,Search the forum,control,Forumpage
85,search forum button:load search form page,Search the forum,control,Forumpage
86,search form page:validate search input,Search the forum,control,SearchUtil
87,validate search input:search forum by input information,Search the forum,control,SearchUtil
88,stl#User:search form page,Search the forum,Stimulus,undefined
89,stl#User:No result matched message,Search the forum,Stimulus,undefined
90,stl#User:search forum button,Search the forum,Stimulus,undefined
91,stl#User:Thread is posted successfully,Search the forum,Stimulus,undefined
92,stl#User:Invalid search input,Search the forum,Stimulus,undefined
93,User:unlike thread button,Unlike a thread or a post,entity,Thread
94,User:grayed out thread unlike button,Unlike a thread or a post,entity,Thread
95,User:unlike post button,Unlike a thread or a post,control,savetheunlikestatus
96,User:post is unliked message,Unlike a thread or a post,control,savetheunlikestatus
97,User:thread is unliked message,Unlike a thread or a post,control,savetheunlikestatus
98,User:grayed out post unlike button,Unlike a thread or a post,control,savetheunlikestatus
99,save the unlike status:Like information,Unlike a thread or a post,entity,Notification
100,calculate points of the owner:point,Unlike a thread or a post,entity,Post
101,calculate points of the owner:post is unliked message,Unlike a thread or a post,control,savetheunlikestatus
102,calculate points of the owner:thread is unliked message,Unlike a thread or a post,control,savetheunlikestatus
103,update like number of thread:calculate points of the owner,Unlike a thread or a post,control,ItemCategoryController
104,update like number of the post:calculate points of the owner,Unlike a thread or a post,control,ItemCategoryController
105,update like number of the post:grayed out post unlike button,Unlike a thread or a post,control,savetheunlikestatus
106,update like number of thread:grayed out thread unlike button,Unlike a thread or a post,entity,Thread
107,update like number of the post:post,Unlike a thread or a post,entity,Post
108,save the unlike status:update like number of thread,Unlike a thread or a post,control,ThreadCategory
109,save the unlike status:update like number of the post,Unlike a thread or a post,control,savetheunlikestatus
110,unlike post button:save the unlike status,Unlike a thread or a post,control,savetheunlikestatus
111,unlike thread button:save the unlike status,Unlike a thread or a post,control,savetheunlikestatus
112,update like number of thread:thread,Unlike a thread or a post,entity,Thread
113,stl#User:unlike thread button,Unlike a thread or a post,Stimulus,undefined
114,stl#User:grayed out thread unlike button,Unlike a thread or a post,Stimulus,undefined
115,stl#User:unlike post button,Unlike a thread or a post,Stimulus,undefined
116,stl#User:post is unliked message,Unlike a thread or a post,Stimulus,undefined
117,stl#User:thread is unliked message,Unlike a thread or a post,Stimulus,undefined
118,stl#User:grayed out post unlike button,Unlike a thread or a post,Stimulus,undefined
119,User:profile edit page,Update his/her profile,control,Forumpage
120,User:error when saving profile,Update his/her profile,boundary,EventController
121,User:view profile button,Update his/her profile,control,StoreController
122,User:profile is updated feedback,Update his/her profile,boundary,profileisupdatedfeedback
123,User:profile detail page,Update his/her profile,boundary,profileisupdatedfeedback
124,save edited profile:error when saving profile,Update his/her profile,boundary,profileisupdatedfeedback
125,save edited profile:like,Update his/her profile,control,like
126,load user profile:profile,Update his/her profile,boundary,profileisupdatedfeedback
127,profile detail page:load user profile,Update his/her profile,entity,User
128,view profile button:load user profile,Update his/her profile,entity,User
129,save edited profile:profile,Update his/her profile,boundary,profileisupdatedfeedback
130,profile detail page:redirect to edit page,Update his/her profile,control,Forumpage
131,redirect to profile page:profile detail page,Update his/her profile,boundary,profileisupdatedfeedback
132,profile edit page:save edited profile,Update his/her profile,boundary,profileisupdatedfeedback
133,redirect to edit page:profile edit page,Update his/her profile,boundary,profileisupdatedfeedback
134,profile is updated feedback:redirect to profile page,Update his/her profile,boundary,profileisupdatedfeedback
