id,path,functional,transactional,path_length,diagram,useCase
1,Sales Agent->dropdown list for removing lead->remove lead from autodialing list->autodialing list,EI,CTRL|DM|EI,undefined,Remove lead from auto dialer list,Remove lead from auto dialer list
2,Sales Agent->dropdown list for removing lead->remove lead from autodialing list->success message for removing lead,EQ,CTRL|INT,undefined,Remove lead from auto dialer list,Remove lead from auto dialer list
