id,element,type,outboundDegree,inboundDegree,diagram,useCase
1,autodialing list,entity,0,1,Remove lead from auto dialer list,Remove lead from auto dialer list,
2,success message for removing lead,boundary,0,2,Remove lead from auto dialer list,Remove lead from auto dialer list,
3,remove lead from autodialing list,control,2,1,Remove lead from auto dialer list,Remove lead from auto dialer list,
4,dropdown list for removing lead,boundary,1,1,Remove lead from auto dialer list,Remove lead from auto dialer list,
5,Sales Agent,actor,2,0,Remove lead from auto dialer list,Remove lead from auto dialer list,
