id,element,useCase,type,component
1,User:Send student detail,view enrolled students,control,student data
2,User:Homepage,view enrolled students,boundary,Displaymessagepage
3,User:Course link button,view enrolled students,boundary,course constraints
4,Course link button:Get  enrolled students list,view enrolled students,control,student final schedule
5,Display page:Homepage,view enrolled students,boundary,Displaymessagepage
6,Send student detail:Display page,view enrolled students,boundary,Displaymessagepage
7,Request students data:Display page,view enrolled students,boundary,Displaymessagepage
8,Get  enrolled students list:Request students data,view enrolled students,control,student data
9,stl#User:Send student detail,view enrolled students,Stimulus,undefined
10,stl#User:Homepage,view enrolled students,Stimulus,undefined
11,stl#User:Course link button,view enrolled students,Stimulus,undefined
