"","SWTI","SWTII","SWTIII","UUCP","AFP","COSMIC","SLOC","LOG_SLOC"
"SWTI",1,0.97,0.96,0.34,0.57,0.66,0.5,0.4
"SWTII",0.97,1,0.99,0.38,0.6,0.68,0.56,0.43
"SWTIII",0.96,0.99,1,0.38,0.6,0.69,0.57,0.44
"UUCP",0.34,0.38,0.38,1,0.35,0.32,0.32,0.36
"AFP",0.57,0.6,0.6,0.35,1,0.59,0.52,0.49
"COSMIC",0.66,0.68,0.69,0.32,0.59,1,0.42,0.37
"SLOC",0.5,0.56,0.57,0.32,0.52,0.42,1,0.95
"LOG_SLOC",0.4,0.43,0.44,0.36,0.49,0.37,0.95,1
