,r,p-value,Rank
SWTIII,0.79,0,1
SWTII,0.78,0,2
AFP,0.75,0,3
SWTI,0.73,0,4
COSMIC,0.56,0,5
SLOC,0.45,0,6
LOG_SLOC,0.38,0.01,7
UUCP,0.38,0.01,8
