"","model1","model2","metric","direction","model1_mean","model2_mean","p_value","BH_p_value","bonferroni_p_value","cohen_d","index"
"29","tm1","tm2","pred25","+",0.08,0.06,0,0,0.01,0.18,"tm1-tm2-pred25"
"30","tm1","tm3","pred25","+",0.08,0.05,0,0,0.01,0.37,"tm1-tm3-pred25"
"32","tm1","fp","pred25","-",0.08,0.08,0,0,0.01,-0.07,"tm1-fp-pred25"
"33","tm1","cosmic","pred25","-",0.08,0.1,0,0,0.01,-0.25,"tm1-cosmic-pred25"
"36","tm2","tm3","pred25","+",0.06,0.05,0,0,0.01,0.17,"tm2-tm3-pred25"
"38","tm2","fp","pred25","-",0.06,0.08,0,0,0.01,-0.24,"tm2-fp-pred25"
"39","tm2","cosmic","pred25","-",0.06,0.1,0,0,0.01,-0.4,"tm2-cosmic-pred25"
"43","tm3","fp","pred25","-",0.05,0.08,0,0,0.01,-0.41,"tm3-fp-pred25"
"44","tm3","cosmic","pred25","-",0.05,0.1,0,0,0.01,-0.58,"tm3-cosmic-pred25"
"64","tm2","tm3","mdmre","-",0.81,0.79,0,0,0.02,0.14,"tm2-tm3-mdmre"
"7","tm1","ln_sloc","mmre","-",0.88,0.78,0,0.01,0.15,0.46,"tm1-ln_sloc-mmre"
"91","tm1","ln_sloc","mae","-",4.42,3.9,0,0.01,0.15,0.46,"tm1-ln_sloc-mae"
"17","tm3","sloc","mmre","+",0.88,1.52,0,0.01,0.31,-1.84,"tm3-sloc-mmre"
"101","tm3","sloc","mae","+",4.4,7.6,0,0.01,0.31,-1.84,"tm3-sloc-mae"
"73","tm3","sloc","mdmre","+",0.79,1.27,0,0.01,0.32,-1.28,"tm3-sloc-mdmre"
"68","tm2","sloc","mdmre","+",0.81,1.27,0,0.01,0.34,-1.23,"tm2-sloc-mdmre"
"1","tm1","tm2","mmre","+",0.88,0.89,0,0.01,0.46,-0.02,"tm1-tm2-mmre"
"85","tm1","tm2","mae","+",4.42,4.44,0,0.01,0.46,-0.02,"tm1-tm2-mae"
"13","tm2","ln_sloc","mmre","-",0.89,0.78,0.01,0.01,0.59,0.5,"tm2-ln_sloc-mmre"
"97","tm2","ln_sloc","mae","-",4.44,3.9,0.01,0.01,0.59,0.5,"tm2-ln_sloc-mae"
"63","tm1","ln_sloc","mdmre","+",0.68,0.72,0.01,0.01,0.65,-0.23,"tm1-ln_sloc-mdmre"
"12","tm2","sloc","mmre","+",0.89,1.52,0.01,0.01,0.72,-1.77,"tm2-sloc-mmre"
"96","tm2","sloc","mae","+",4.44,7.6,0.01,0.01,0.72,-1.77,"tm2-sloc-mae"
"34","tm1","sloc","pred25","+",0.08,0.05,0.01,0.01,0.73,0.36,"tm1-sloc-pred25"
"35","tm1","ln_sloc","pred25","+",0.08,0.07,0.01,0.01,0.76,0.08,"tm1-ln_sloc-pred25"
"41","tm2","ln_sloc","pred25","-",0.06,0.07,0.01,0.01,0.76,-0.11,"tm2-ln_sloc-pred25"
"62","tm1","sloc","mdmre","+",0.68,1.27,0.01,0.01,0.76,-1.57,"tm1-sloc-mdmre"
"45","tm3","sloc","pred25","=",0.05,0.05,0.01,0.01,0.78,0,"tm3-sloc-pred25"
"40","tm2","sloc","pred25","+",0.06,0.05,0.01,0.01,0.82,0.16,"tm2-sloc-pred25"
"6","tm1","sloc","mmre","+",0.88,1.52,0.01,0.01,0.87,-1.75,"tm1-sloc-mmre"
"46","tm3","ln_sloc","pred25","-",0.05,0.07,0.01,0.01,0.87,-0.31,"tm3-ln_sloc-pred25"
"90","tm1","sloc","mae","+",4.42,7.6,0.01,0.01,0.87,-1.75,"tm1-sloc-mae"
"31","tm1","ucp","pred25","+",0.08,0,0.01,0.01,0.9,1.24,"tm1-ucp-pred25"
"72","tm3","cosmic","mdmre","+",0.79,0.85,0.01,0.01,0.9,-0.17,"tm3-cosmic-mdmre"
"8","tm2","tm3","mmre","-",0.89,0.88,0.01,0.01,0.91,0.03,"tm2-tm3-mmre"
"92","tm2","tm3","mae","-",4.44,4.4,0.01,0.01,0.91,0.03,"tm2-tm3-mae"
"67","tm2","cosmic","mdmre","+",0.81,0.85,0.01,0.01,0.92,-0.12,"tm2-cosmic-mdmre"
"2","tm1","tm3","mmre","-",0.88,0.88,0.01,0.01,0.97,0.01,"tm1-tm3-mmre"
