Team. NO.,Semester,PROJ,KSLOC,PREC,FLEX,RESL,TEAM,PMAT,RELY,DATA,CPLX,RUSE,DOCU,TIME,STOR,PVOL,ACAP,PCAP,PCON,APEX,PLEX,LTEX,TOOL,SITE,SCED
1,fall2015/spring2016,musicplayer,3.52,L,H,H,VH,N,N,H,N,L,N,N,N,L,H,H,VH,N,N,N,N,N,N
2,fall2015/spring2016,Integrated-nav-bar,3.72,L,H,H,VH,N,N,H,N,L,N,N,N,L,H,H,VH,N,N,N,N,N,N
3,fall2015,alltheapps,2.99,L,N,N,H,N,H,L,H,H,H,N,N,L,N,N,L,N,N,N,N,H,N
