Project,Author,Commit,Date
CuffBackgroundService,Garland Chen,54d79e3,20150220
CuffBackgroundService,Kan Qi,3c834ff,20150217
CuffBackgroundService,David Zhang,cf0431,20150214
CuffBackgroundService,David Zhang,ec2b1e8,20150214
CuffBackgroundService,Garland Chen,86a1bd6,20150214
CuffBackgroundService,Garland Chen,7f84b3a,20150214
CuffBackgroundService,Garland Chen,bdc5659,20150206
CuffBackgroundService,Garland Chen,3a73137,20150206
CuffBackgroundService,Garland Chen,903aafe,20150206
CuffBackgroundService,Garland Chen,292b9a9,20150206
CuffBackgroundService,Garland Chen,6a9d040,20151024
CuffBackgroundService,David Zhang,d1c8cb6,20151023
CuffBackgroundService-1,David Zhang,40f32da,20141023
CuffBackgroundService-1,Garland Chen,cc933e4,20141021
CuffBackgroundService-1,Garland Chen,6799a28,20141021
CuffBackgroundService-1,Garland Chen,57a6a3d,20141016
CuffBackgroundService-1,Garland Chen,5856daf,20141014
CuffBackgroundService-1,Garland Chen,997e600,20141014
CuffBackgroundService-1,Garland Chen,5f2dcf8,20141014
CuffBackgroundService-1,Garland Chen,4a38774,20141014
CuffBackgroundService-1,David Zhang,f1abdeb,20141014
CuffBackgroundService-1,Garland Chen,45b2217,20141009
CuffBackgroundService-1,David Zhang,18a557b,20141009
CuffBackgroundService-1,Garland Chen,7e5d419,20141009
CuffBackgroundService-1,Manan Patel,ec1c6e9,20141002
CuffBackgroundService-1,Manan Patel,7a98b63,20141002
CuffBackgroundService-1,Garland Chen,34170cd,20140926
CuffBackgroundService-1,Garland Chen,95426dd,20140925
CuffBackgroundService-1,David Zhang,1f6de48,20140923
CuffBackgroundService-1,David Zhang,dfe2802,20140923
CuffBackgroundService-1,Garland Chen,2.36E+08,20140923
CuffBackgroundService-1,Garland Chen,f5208db,20140918
CuffBackgroundService-1,Garland Chen,6c6c1fe,20140815
CuffBackgroundService-1,Garland Chen,7d20edd,20140813
CuffBackgroundService-1,Garland Chen,ccb4333,20140812
CuffBackgroundService-1,Garland Chen,71ade87,20140806
CuffBackgroundService-1,Garland Chen,0b88b49,20140804
CuffBackgroundService-1,Manan Patel,e5642e9,20140801
CuffBackgroundService-1,Garland Chen,7acc955,20140801
CuffBackgroundService-1,Garland Chen,ad5548a,20140730
CuffBackgroundService-1,Manan Patel,0ec855d,20140730
CuffBackgroundService-1,Manan Patel,621c490,20140730
CuffBackgroundService-2,Manan Patel,a9c4cda,20140729
CuffBackgroundService-2,Garland Chen,fc6e167,20140729
CuffBackgroundService-2,Garland Chen,e4104c7,20140729
Dialer,Garland Chen,6140b95,20151102
Dialer,Garland Chen,66ab0d0,20150921
Dialer,Garland Chen,69cf516,20150826
Dialer,Garland Chen,be3db07,20150826
InCallUI,Garland Chen,fa669fc,20151005
InCallUI,Garland Chen,9ff7159,20151005
InCallUI,Garland Chen,73d04f3,20150608
IncomingCallScreen,Garland Chen,5268abd,20150220
Integrated Nav Bar,Kaidong Li,7210ebb,20151111
Integrated Nav Bar,Kan Qi,565118b,20151111
Launcher 3,Ruixu,00e480f,20140808
linux-3.12.10-ti2013.12.01,Rohit Phatak,5da5886,20150313
linux-3.12.10-ti2013.12.01,Trent Oshiro,5e347d1,20150303
linux-3.12.10-ti2013.12.01,Rohit Phatak,561b41b,20150303
linux-3.12.10-ti2013.12.01,Trent Oshiro,8a8f191,20150212
linux-3.12.10-ti2013.12.01,Rohit Phatak,dde5bc4,20150211
linux-3.12.10-ti2013.12.01,Trent Oshiro,abae736,20150210
linux-3.12.10-ti2013.12.01,Trent Oshiro,14b0180,20150209
linux-3.12.10-ti2013.12.01,Trent Oshiro,2842700,20150209
linux-3.12.10-ti2013.12.01,Trent Oshiro,b783802,20150203
linux-3.12.10-ti2013.12.01,Manan Patel,ded175e,20141116
linux-3.12.10-ti2013.12.01,Manan Patel,44aa234,20140928
linux-3.12.10-ti2013.12.01,Manan Patel,b4c43ba,20140928
linux-3.12.10-ti2013.12.01,Trent Oshiro,8cd821f,20140922
linux-3.12.10-ti2013.12.01,Trent Oshiro,a9c8e58,20140922
linux-3.12.10-ti2013.12.01,Manan Patel,3072709,20140822
linux-3.12.10-ti2013.12.01,Manan Patel,ecf5226,20140818
linux-3.12.10-ti2013.12.01,Manan Patel,3f4db46,20140818
linux-3.12.10-ti2013.12.01,Manan Patel,d21fe89,20140818
linux-3.12.10-ti2013.12.01,Manan Patel,2ac65e1,20140818
linux-3.12.10-ti2013.12.01,Manan Patel,2365ac4,20140805
linux-3.12.10-ti2013.12.01,Kaidong Li,ba96771,20150730
linux-3.12.10-ti2013.12.01,Kaidong Li,278c073,20150713
linux-3.12.10-ti2013.12.01,Kaidong Li,8aa9e6f,20150709
linux-3.12.10-ti2013.12.01,Kaidong Li,07eda24,20150626
linux-3.12.10-ti2013.12.01,Kaidong Li,735c480,20150618
linux-3.12.10-ti2013.12.01,Kaidong Li,0d2dd80,20150617
linux-3.12.10-ti2013.12.01,Kaidong Li,e122f35,20150608
linux-3.12.10-ti2013.12.01,Kaidong Li,b7fab71,20150520
linux-3.12.10-ti2013.12.01,Kaidong Li,50e6283,20150410
linux-3.12.10-ti2013.12.01,Kaidong Li,a35116e,20150410
linux-3.12.10-ti2013.12.01,Kaidong Li,6f47688,20150317
linux-3.12.10-ti2013.12.01,Kaidong Li,a7742a8,20150316
linux-3.12.10-ti2013.12.01,Kaidong Li,24a1ccd,20150311
linux-3.12.10-ti2013.12.01,Kaidong Li,0ce7eed,20150311
linux-3.12.10-ti2013.12.01,Kaidong Li,afcd3a3,20150309
linux-3.12.10-ti2013.12.01,Kaidong Li,73cd52c,20150309
linux-3.12.10-ti2013.12.01,Kaidong Li,c07ac97,20150306
linux-3.12.10-ti2013.12.01,Kaidong Li,d376516,20150304
linux-3.12.10-ti2013.12.01,Kaidong Li,4766161,20150304
linux-3.12.10-ti2013.12.01,Kaidong Li,593673c,20150227
linux-3.12.10-ti2013.12.01,Kan Qi,46e960d,20150217
linux-3.12.10-ti2013.12.01,Kaidong Li,299c660,20150216
linux-3.12.10-ti2013.12.01,Kaidong Li,d9d6106,20150213
linux-3.12.10-ti2013.12.01,Kan Qi,19a67a2,20150213
linux-3.12.10-ti2013.12.01,Kaidong Li,e3c6e07,20150212
linux-3.12.10-ti2013.12.01,Kaidong Li,b0f375d,20150203
linux-3.12.10-ti2013.12.01,Kaidong Li,c6bb2bb,20150202
linux-3.12.10-ti2013.12.01,Kaidong Li,71ec298,20150202
linux-3.12.10-ti2013.12.01,Kaidong Li,5c8d1f9,20150130
linux-3.12.10-ti2013.12.01,Kaidong Li,8144117,20150130
LockScreen-1,Kaidong Li,5e43658,20151212
LockScreen-1,Kaidong Li,fc6957a,20141105
LockScreen-1,Kaidong Li,ff68b97,20141103
LockScreen-1,Kaidong Li,00a4f69,20141031
LockScreen-1,Kaidong Li,6b5094b,20141029
LockScreen-1,Kaidong Li,176ebc1,20141027
manifest.git,Zhixian Huang,9cc652d,20160811
manifest.git,Garland Chen,eefc030,20150316
manifest.git,Garland Chen,900f0e3,20141007
manifest.git,Garland Chen,1fbb907,20141009
MusicPlayer,Garland Chen,dcc2c29,20140922
MusicPlayer,Garland Chen,aacbe7c,20140918
MusicPlayer,Manan Patel,49f4f19,20140909
MusicPlayer,Garland Chen,7e465d2,20140909
MusicPlayer,Garland Chen,5428249,20140806
MusicPlayer,Garland Chen,f31801d,20140806
MusicPlayer,Garland Chen,8feeba7,20140805
MusicPlayer,Garland Chen,e1dff6e,20140805
MusicPlayer,Garland Chen,7575985,20140804
MusicPlayer,Garland Chen,b99719e,20140804
MusicPlayer,Garland Chen,6abcfca,20140804
MusicPlayer,Garland Chen,ad36d17,20140804
MusicPlayer,Garland Chen,39d95bd,20140804
MusicPlayer,Garland Chen,d5b47e5,20140801
MusicPlayer,Garland Chen,9bfa0ed,20140801
MusicPlayer,Garland Chen,4cc49e5,20140731
MusicPlayer,Garland Chen,d37fcc3,20140728
MusicPlayer,Kaidong Li,b434cf3,20160610
MusicPlayer,Garland Chen,f6f64d5,20151021
MusicPlayer,Garland Chen,01576a5,20151021
MusicPlayer,Garland Chen,ea8d744,20151019
MusicPlayer,Garland Chen,977b455,20151019
MusicPlayer,Garland Chen,9412323,20150930
MusicPlayer,Garland Chen,a427400,20150826
MusicPlayer,Garland Chen,8566174,20150826
MusicPlayer,Garland Chen,a175c77,20150708
MusicPlayer,Garland Chen,b7bed91,20150702
MusicPlayer,Garland Chen,d9345cd,20150702
MusicPlayer,Garland Chen,6d24c02,20150526
MusicPlayer,Garland Chen,8.70E+13,20150526
NavigationBar,Kaidong Li,b2ae529,20151111
NavigationBar,Kaidong Li,2a941ec,20150803
NavigationBar,Kaidong Li,c8596e1,20150729
NavigationBar,Kaidong Li,add97d8,20150728
NavigationBar,Kaidong Li,ccbe529,20150724
NavigationBar,Kaidong Li,2b45260,20150722
NavigationBar,Kaidong Li,16436f7,20150720
NavigationBar,Kaidong Li,60cdfae,20150713
NavigationBar,Kaidong Li,71ce37f,20150709
NavigationBar,Kaidong Li,61eb5ad,20150702
NavigationBar,Kaidong Li,499f1d8,20150629
NavigationBar,Kaidong Li,d5e7fc4,20150626
NavigationBar,Kaidong Li,decc019,20150618
NavigationBar,Kaidong Li,6e2629b,20150528
NavigationBar,Kaidong Li,824c636,20150526
NavigationBar,Kaidong Li,f5a01cc,20150520
NavigationBar,Garland Chen,0bc1ce9,20150514
NavigationBar,Kaidong Li,f2fce8a,20150507
NavigationBar,Kaidong Li,c2b5eb8,20150424
NavigationBar,Kaidong Li,0592bef,20150423
NavigationBar,Kaidong Li,640c6a4,20150422
NavigationBar,Kaidong Li,b40cf89,20150420
NavigationBar,Siddhant,502391f,20141125
NavigationBar,Siddhant,9bedb4c,20141125
NavigationBar,Garland Chen,4e8bcc3,20141124
NavigationBar,Garland Chen,866f887,20141124
NavigationBar,Garland Chen,d6f7cf7,20141124
NavigationBar,Garland Chen,26cddfc,20141216
NavigationBar-2,Garland Chen,bfdb037,20141029
NavigationBar-2,Garland Chen,b0e3ddc,20141009
NavigationBar-2,Garland Chen,991631d,20141007
NavigationBar-2,Garland Chen,cf9a8b8,20141006
NavigationBar-2,Garland Chen,bc81b52,20141003
NavigationBar-2,Garland Chen,8f3d89e,20141003
NavigationBar-2,Garland Chen,4904399,20141003
NavigationBar-2,Siddhant,e44d82e,20141003
NavigationBar-2,Garland Chen,07a1864,20141003
NavigationBar-2,Garland Chen,7390a6b,20141003
old_Dialer,Garland Chen,c89d867,20141031
old_Dialer,Garland Chen,3027ad3,20141031
old_Dialer,Garland Chen,67a9cbe,20141031
