id,transaction,useCase,transactional,TL, DETs, TD, TC, Arch_Diff
1,stl#User:User info page->User:User info page->User info page:Delete user info->Delete user info:User info,Delete users,TRAN_NA,4,0,6,3,24
2,stl#User:User info page->User:User info page->User info page:Delete user info->Delete user info:Delete user info success,Delete users,TRAN_NA,4,0,6,3,24
3,stl#User:User List->User:User List->User List:query user info->query user info:User info page->User info page:Delete user info->Delete user info:User info,Delete users,TRAN_NA,6,1,6.8,5,40.8
4,stl#User:User List->User:User List->User List:query user info->query user info:User info page->User info page:Delete user info->Delete user info:Delete user info success,Delete users,TRAN_NA,6,1,6.8,5,40.8
5,stl#User:User List->User:User List->User List:query user info->query user info:User info,Delete users,TRAN_NA,4,2,8,3,32
6,stl#User:Delete user info success->User:Delete user info success,Delete users,CTRL;EXTCLL;DM;EI,2,0,8,1,16
