id,path,functional,transactional,path_length, boundry_num, control_num, entity_num, actor_num, diagram,useCase
1,Administrator->article add page->submit article to blog category->article,EI,CTRL|DM|EI,4,undefined,1,1,1,Add articles to blog,Add articles to blog
2,Administrator->Admin interface->navigate article add page->article add page,EQ,CTRL|INT,4,undefined,1,0,1,Add articles to blog,Add articles to blog
