id,element,useCase,type,component
1,Student:transcript frame of the home page,Rolling transcripts,boundary,Yanomamo HomePage
2,Student:Control bar of the video,Rolling transcripts,boundary,videoframe
3,Control bar of the video:display the transcirpt block on the video frame,Rolling transcripts,boundary,videoframe
4,display the transcirpt block on the video frame:transcript frame of the home page,Rolling transcripts,boundary,Yanomamo HomePage
5,stl#Student:transcript frame of the home page,Rolling transcripts,Stimulus,undefined
6,stl#Student:Control bar of the video,Rolling transcripts,Stimulus,undefined
