id,element,NOCH,DIT,CBO,NUMS,NCI,NCIF
1,Base_module_model,4,4,8,0,4,0
2,Udm_library_model,0,0,0,0,0,1
3,Udm_microsites_model,0,0,0,0,0,1
4,Udm_statistics_model,0,0,0,0,0,1
5,Udm_subsciption,0,0,0,0,0,1
