id,transaction,useCase,transactional, TL, DETs, TD, Arch_Diff
1,stl#User:save user information success message->User:save user information success message,Add users,CTRL,2,0,4,8
2,stl#User:User add button->User:User add button->User add button:display user add page->display user add page:User add page->User add page:send reset link by email,Add users,CTRL,5,0,4.75,23.75
3,stl#User:User add button->User:User add button->User add button:display user add page->display user add page:User add page->User add page:save user information->save user information:save user information success message,Add users,CTRL,6,0,4.2,25.200000000000003
4,stl#User:User add button->User:User add button->User add button:display user add page->display user add page:User add page->User add page:save user information->save user information:User info,Add users,CTRL,6,0,4.6,27.599999999999998
5,stl#User:User add page->User:User add page->User add page:send reset link by email,Add users,CTRL,3,0,6,18
6,stl#User:User add page->User:User add page->User add page:save user information->save user information:save user information success message,Add users,CTRL,4,0,4.666666666666667,18.666666666666668
7,stl#User:User add page->User:User add page->User add page:save user information->save user information:User info,Add users,CTRL,4,0,5.333333333333333,21.333333333333332
1,stl#User:User info page->User:User info page->User info page:Delete user info->Delete user info:User info,Delete users,TRAN_NA,4,0,6,24
2,stl#User:User info page->User:User info page->User info page:Delete user info->Delete user info:Delete user info success,Delete users,TRAN_NA,4,0,6,24
3,stl#User:User List->User:User List->User List:query user info->query user info:User info page->User info page:Delete user info->Delete user info:User info,Delete users,TRAN_NA,6,0,6.8,40.8
4,stl#User:User List->User:User List->User List:query user info->query user info:User info page->User info page:Delete user info->Delete user info:Delete user info success,Delete users,TRAN_NA,6,0,6.8,40.8
5,stl#User:User List->User:User List->User List:query user info->query user info:User info,Delete users,CTRL,4,0,8,32
6,stl#User:Delete user info success->User:Delete user info success,Delete users,CTRL,2,0,8,16
1,stl#Staff:Attendance page->Staff:Attendance page->Attendance page:display type of attendance for export->display type of attendance for export:attendance,Export attendance,CTRL,4,0,16,64
2,stl#Staff:Attendance page->Staff:Attendance page->Attendance page:display type of attendance for export->display type of attendance for export:Types of attendance->Types of attendance:export data to csv file->export data to csv file:Select file location to save->Select file location to save:csv files,Export attendance,CTRL,7,0,9.5,66.5
3,stl#Staff:Attendance page->Staff:Attendance page->Attendance page:display type of attendance for export->display type of attendance for export:Types of attendance->Types of attendance:export data to csv file->export data to csv file:Select file location to save->Select file location to save:Data export success message,Export attendance,CTRL,7,0,11.5,80.5
4,stl#Staff:Types of attendance->Staff:Types of attendance->Types of attendance:export data to csv file->export data to csv file:Select file location to save->Select file location to save:csv files,Export attendance,CTRL,5,0,6.25,31.25
5,stl#Staff:Types of attendance->Staff:Types of attendance->Types of attendance:export data to csv file->export data to csv file:Select file location to save->Select file location to save:Data export success message,Export attendance,CTRL,5,0,9.25,46.25
6,stl#Staff:Data export success message->Staff:Data export success message,Export attendance,CTRL,2,0,16,32
7,stl#Admin:Select attendance button->Admin:Select attendance button->Select attendance button:Display attendance page->Display attendance page:attendance,Export attendance,CTRL,4,0,16,64
8,stl#Admin:Select attendance button->Admin:Select attendance button->Select attendance button:Display attendance page->Display attendance page:Attendance page->Attendance page:display type of attendance for export->display type of attendance for export:attendance,Export attendance,CTRL,6,0,16,96
9,stl#Admin:Select attendance button->Admin:Select attendance button->Select attendance button:Display attendance page->Display attendance page:Attendance page->Attendance page:display type of attendance for export->display type of attendance for export:Types of attendance->Types of attendance:export data to csv file->export data to csv file:Select file location to save->Select file location to save:csv files,Export attendance,CTRL,9,0,11.125,100.125
10,stl#Admin:Select attendance button->Admin:Select attendance button->Select attendance button:Display attendance page->Display attendance page:Attendance page->Attendance page:display type of attendance for export->display type of attendance for export:Types of attendance->Types of attendance:export data to csv file->export data to csv file:Select file location to save->Select file location to save:Data export success message,Export attendance,CTRL,9,0,12.625,113.625
11,stl#Admin:Data export success message->Admin:Data export success message,Export attendance,CTRL,2,0,16,32
12,stl#Admin:Attendance page->Admin:Attendance page->Attendance page:display type of attendance for export->display type of attendance for export:attendance,Export attendance,CTRL,4,0,16,64
