id,element,type,outboundDegree,inboundDegree,diagram,useCase
1,save the approval status of the business,control,1,1,Add a new business,Add a new business,
2,business info,boundary,1,2,Add a new business,Add a new business,
3,display added business page,control,3,0,Add a new business,Add a new business,
4,Admin,actor,3,0,Add a new business,Add a new business,
5,added business button,boundary,1,2,Add a new business,Add a new business,
6,query information for a specific business,control,2,1,Add a new business,Add a new business,
7,business list,boundary,1,2,Add a new business,Add a new business,
8,business,entity,0,4,Add a new business,Add a new business,
9,save business information for verification,control,1,1,Add a new business,Add a new business,
10,business input information,boundary,1,3,Add a new business,Add a new business,
11,display add business page,control,1,1,Add a new business,Add a new business,
12,Add a business button,boundary,1,1,Add a new business,Add a new business,
13,User,actor,2,0,Add a new business,Add a new business,
