id,element,type,outboundDegree,inboundDegree,diagram,useCase
1,Retrieve coupon list,control,1,1,View partner offer,View partner offer,
2,Return search results,control,1,1,View partner offer,View partner offer,
3,Search coupon,control,1,1,View partner offer,View partner offer,
4,Sort coupon list,control,1,2,View partner offer,View partner offer,
5,click "popular",control,1,1,View partner offer,View partner offer,
6,Click back,control,1,1,View partner offer,View partner offer,
7,Partner info,entity,0,1,View partner offer,View partner offer,
8,Retrieve partner info,control,1,1,View partner offer,View partner offer,
9,Coupon Info,entity,0,2,View partner offer,View partner offer,
10,partner offer page,boundary,4,1,View partner offer,View partner offer,
11,Display partner info,control,2,1,View partner offer,View partner offer,
12,Click "detail",control,3,1,View partner offer,View partner offer,
13,Traveler,actor,1,0,View partner offer,View partner offer,
14,Management subscription page,boundary,1,2,View partner offer,View partner offer,
