id,path,functional,transactional,path_length, boundry_num, control_num, entity_num, actor_num, diagram,useCase
1,Traveler->Management subscription page->Click "detail"->Display partner info->Retrieve partner info->Partner info,EI,CTRL|DM|EI,6,undefined,3,1,1,View partner offer,View partner offer
2,Traveler->Management subscription page->Click "detail"->partner offer page,EQ,CTRL|INT,4,undefined,1,0,1,View partner offer,View partner offer
