id,transaction,useCase,transactional,TL, DETs, TD, TC, Arch_Diff
1,stl#User:Create account  page-->User:Create account  page-->Create account  page:Create  account information-->Create  account information:validate account information -->validate account information :Confirmation page-->Confirmation page:Create account  page-->Create account  page:Create  account information,Create Account,CTRL,7,0,6,6,42
2,stl#User:Create account  page-->User:Create account  page-->Create account  page:Create  account information-->Create  account information:validate account information -->validate account information :Confirmation page-->Confirmation page:Homepage,Create Account,CTRL;EXTCLL;INT,6,0,5.2,5,31.200000000000003
3,stl#User:Homepage-->User:Homepage,Create Account,CTRL;EXTCLL;INT,2,0,2,1,4
