id,element,type,outbound_degree,inbound_degree,diagram,useCase
1,Scenario display,boundary,0,2,Provide Information,Provide Information
2,display scenario,control,1,1,Provide Information,Provide Information
3,Scenario,entity,0,1,Provide Information,Provide Information
4,load first scenario,control,2,1,Provide Information,Provide Information
5,Civilian or veteran radio button,boundary,1,1,Provide Information,Provide Information
6,User,actor,2,0,Provide Information,Provide Information
7,Cookie Expiration Error,boundary,0,2,Take Scenario Quiz,Take Scenario Quiz
8,Check cookie expiration,control,2,1,Take Scenario Quiz,Take Scenario Quiz
9,Thank you page,boundary,0,2,Take Scenario Quiz,Take Scenario Quiz
10,Load next senario,control,2,1,Take Scenario Quiz,Take Scenario Quiz
11,Scenario,entity,0,2,Take Scenario Quiz,Take Scenario Quiz
12,Cookie,entity,0,1,Take Scenario Quiz,Take Scenario Quiz
13,Store the answer for the scenario,control,4,1,Take Scenario Quiz,Take Scenario Quiz
14,Scenario Page,boundary,1,2,Take Scenario Quiz,Take Scenario Quiz
15,User,actor,3,0,Take Scenario Quiz,Take Scenario Quiz
16,communication,entity,0,1,Take Team Scenario Quiz,Take Team Scenario Quiz
17,Load communication technique,control,2,1,Take Team Scenario Quiz,Take Team Scenario Quiz
18,answer statistics page,boundary,1,1,Take Team Scenario Quiz,Take Team Scenario Quiz
19,calculate response statistics,control,1,1,Take Team Scenario Quiz,Take Team Scenario Quiz
20,Cookie,entity,0,1,Take Team Scenario Quiz,Take Team Scenario Quiz
21,store answers as cookie,control,2,1,Take Team Scenario Quiz,Take Team Scenario Quiz
22,Scenario Page,boundary,1,2,Take Team Scenario Quiz,Take Team Scenario Quiz
23,User,actor,1,0,Take Team Scenario Quiz,Take Team Scenario Quiz
24,front page,boundary,0,2,Logout,Logout
25,Cookie,entity,0,1,Logout,Logout
26,clear local cache,control,2,1,Logout,Logout
27,Logout Button,boundary,1,1,Logout,Logout
28,User,actor,2,0,Logout,Logout
29,Update error message,boundary,0,2,Edit Page on Website,Edit Page on Website
30,Page,entity,0,1,Edit Page on Website,Edit Page on Website
31,Update message,boundary,0,2,Edit Page on Website,Edit Page on Website
32,Update page,control,3,1,Edit Page on Website,Edit Page on Website
33,page edit text field and update button,boundary,1,2,Edit Page on Website,Edit Page on Website
34,Load page to edit,control,1,1,Edit Page on Website,Edit Page on Website
35,Page Selector,boundary,1,1,Edit Page on Website,Edit Page on Website
36,User,actor,4,0,Edit Page on Website,Edit Page on Website
37,Empty complete message,boundary,0,2,Clear submitted answer,Clear submitted answer
38,drop tabl,control,1,1,Clear submitted answer,Clear submitted answer
39,List of tables with drop button,boundary,1,2,Clear submitted answer,Clear submitted answer
40,show database info,control,1,1,Clear submitted answer,Clear submitted answer
41,Database button,boundary,1,1,Clear submitted answer,Clear submitted answer
42,Admin,actor,3,0,Clear submitted answer,Clear submitted answer
43,Error Message,boundary,0,2,Login,Login
44,user interface,boundary,0,2,Login,Login
45,admin interface,boundary,0,2,Login,Login
46,User Info,entity,0,1,Login,Login
47,check login information,control,4,1,Login,Login
48,username and password interface,boundary,1,1,Login,Login
49,User,actor,4,0,Login,Login
