"","swtiii_l1","swtiii_l2","swtiii_l3","swtiii_l4","SWTIII","swtii_l1","SWTII","swti_l1","SWTI","UUCP","AFP","COSMIC","SLOC","LOG_SLOC","Effort","Trans","TL","TL_SE","TD","TD_SE","DETs","DETs_SE"
"Leamos_TM",3,19,18,2,99.39,42,55.2,42,48.79,130,351,228,2.91,1.07,948,58,5.6,1.31,3.54,1.42,4.86,3.45
"LEMA_FAMILY_ACCOUNTABILITY_SYSTEM",28,41,7,6,153.23,82,107.77,82,95.26,185,706,528,3.28,1.19,793,133,4.46,0.89,7.05,4.34,0.98,0.77
"LEMA_Pilot_School_Integrated_Scheduling_System",18,30,10,0,106.23,58,76.23,58,67.38,160,471,300,3.23,1.17,349.81,75,5.02,1.19,2.65,0.83,1.53,1.05
"Los_Angeles_Child_Guidance_Clinic_Employment_Opportunities_Online_Application_System",43,34,19,0,168.96,96,126.17,96,111.52,230,743,468,1.22,0.2,595.6,118,5.34,1.01,3.1,1.38,1.26,0.89
"Pediatric_Trauma_Society_Research_Investigator_Databank _PTS_RID",5,17,7,0,58.05,29,38.11,29,33.69,80,518,168,1.32,0.28,99.8,43,5.38,0.82,2.08,0.52,1.79,0.9
"S13b_PTS_RID",0,0,0,0,0,0,0,0,0,0,0,0,1.28,0.25,1072,0,NA,NA,NA,NA,NA,NA
"S13b_SomaticsWeb_DataServices",0,0,0,0,0,0,0,0,0,0,35,0,2.31,0.84,541,0,NA,NA,NA,NA,NA,NA
"S13b_United_Direct_Marketing",0,0,0,0,0,0,0,0,0,0,47,0,2.18,0.78,166,0,NA,NA,NA,NA,NA,NA
"S14b_E-LockBox",38,32,22,6,191.7,98,128.8,98,113.85,260,743,620,1.21,0.19,550,155,5.57,1.87,4.18,1.81,1.16,1.11
"S14b_Healthy_Kids_Zone_SurveyApp",48,41,46,13,317.58,148,194.51,148,171.93,285,871,716,1.18,0.17,950,172,5.54,1.94,4.36,1.78,1.51,1.14
"S14b_JEP_Online_Platform",39,71,71,35,522.52,216,283.88,216,250.93,280,1123,1044,3.6,1.28,1295.04,261,5.88,2.27,7.13,3.61,1.14,1.19
"S14b_Lose4Good",28,54,93,57,628.36,232,304.91,232,269.51,170,1326,1032,3,1.1,1810.32,217,6.29,2.26,5.66,2.91,2.13,1.41
"S14b_Student_Scheduling_Systemb",30,30,15,0,134.73,75,98.57,75,87.13,170,516,384,7.78,2.05,193.84,96,4.45,1.38,3.89,1.38,1.25,0.93
"S15b_mission_science_irobots",11,16,16,1,93.3,44,57.83,44,51.11,105,378,220,12.26,2.51,159,52,5.64,1.83,4.1,1.41,1.8,1.17
"s15b_snap_valet",19,64,73,23,444.97,179,235.26,179,207.94,165,932,820,0.55,-0.59,1302.5,199,5.61,1.89,5.77,1.79,3.07,5.15
"S15b_we_are_trojans_network",14,60,56,18,362.5,148,194.51,148,171.93,135,888,652,6.42,1.86,1965,163,6.06,1.9,6.21,2.44,3.59,7.81
"s16b_combat_conflict",14,12,5,0,53.3,31,40.74,31,36.01,65,199,140,3.48,1.25,169.2,35,4.29,1.53,4.73,1.76,0.29,0.46
"S16b_flower_seeker",26,29,6,2,109.82,63,82.8,63,73.19,180,683,336,7.37,2,304.5,84,4.22,1.16,3.38,1.65,2.27,3.36
"s16b_Picshare_AA",37,23,26,5,181.42,91,119.6,91,105.71,190,467,376,8.21,2.11,592,94,5.12,2.1,4.67,2.06,1.03,1.27
"s16b_Picshare_RA",34,80,82,144,993.24,340,446.85,340,394.98,350,1871,1548,8.06,2.09,3113,387,6.4,2.84,7.57,2.71,2.15,1.89
"Web_based_product_configurator_and_data_service_system",7,16,8,0,61.41,31,40.74,31,36.01,85,228,176,3.92,1.37,73,44,5.52,0.96,2.7,0.44,1.32,0.75
"Web_Media_Modernization_2012",8,10,1,0,30.93,19,24.97,19,22.07,55,196,108,2.11,0.75,90,28,5.32,0.95,3.66,0.99,0.74,0.73
"XL_2",2,16,9,3,70.3,30,39.43,30,34.85,80,213,128,1.38,0.32,99,32,5.8,1.1,4.24,1.37,1.1,1.12
