"","mean","se","t","median","CrI","CrI"
"l1",1.13,0.6,1.88,1.07,0.07,2.44
"l2",1.67,0.68,2.45,1.63,0.5,3.13
"l3",2.93,0.42,6.97,2.94,2.09,3.74
"l4",4.56,0.98,4.67,4.58,2.85,6.4
"l5",7.32,1.35,5.41,7.28,4.98,10.02
"l6",10.95,2.35,4.66,10.79,7.18,15.86
"l7",14.02,3.72,3.77,13.58,7.76,22.26
"sd",510.61,69.05,7.4,516.36,361.62,620.93
"effortAdj",0.86,0.15,5.79,0.85,0.6,1.18
"sd",510.61,69.05,7.4,516.36,361.62,620.93
