id,operation,element
1,savecourseinfo,savecourseinfo
2,courselist,savecourseinfo
3,Invalidenteredinformation,Invalidenteredinformation
4,Processcourseinformation,Invalidenteredinformation
5,Deleteconfirmationdialog,Invalidenteredinformation
6,Logininvalidmessage,Invalidenteredinformation
7,registrationsuccess,Invalidenteredinformation
8,Savesignupinformation,Invalidenteredinformation
9,Notification,Invalidenteredinformation
10,Invalidinputscheduleinfo,Invalidenteredinformation
11,Emailprotocol,Emailprotocol
12,sendemailtoattendees,Emailprotocol
13,sendemailtotrianer,Emailprotocol
14,Homepage,Homepage
15,coursedetailpage,Homepage
16,Loginpage,Homepage
17,Paymentpage,Homepage
18,Reviewpage,Homepage
19,Searchpage,Homepage
20,Signuppage,Homepage
21,scheduleinfopage,Homepage
22,cache,cache
23,clearlocalcache,cache
24,loadschedulebutton,cache
25,updaterole,updaterole
26,scheduleupdatepage,updaterole
27,receivepaymentresult,receivepaymentresult
28,EventBrite,receivepaymentresult
29,setupPayment,receivepaymentresult
30,registrationsuccess,receivepaymentresult
31,Nomatchedresults,receivepaymentresult
32,Sharemenu,receivepaymentresult
33,acceptance,acceptance
