id,transaction,useCase,transactional,TL, DETs, TD, TC, Arch_Diff
1,stl#User:Download button->User:Download button->Download button:download to phone->download to phone:Picture->Picture:download to phone->download to phone:Picture,Save Picture to Device,CTRL,6,5,NaN,undefined,NaN
2,stl#User:Download button->User:Download button->Download button:download to phone->download to phone:Picture->Picture:download to phone->download to phone:Local Storage,Save Picture to Device,CTRL;EXTCLL;DM;EI,6,5,NaN,undefined,NaN
3,stl#User:Download button->User:Download button->Download button:download to phone->download to phone:Local Storage,Save Picture to Device,CTRL;EXTCLL;DM;EI,4,3,NaN,undefined,NaN
