id,attribute,type,element
1,BookTicketInput,EAJava_int,BookTicketInterface
2,ticketName,EAJava_String,BookTicketsManagement
3,tiketId,EAJava_int,BookTicketsManagement
4,undefined,EAID_A2005B87_8BE7_4869_9CC6_2F5C7E80F893,BookTicketsManagement
5,BookTicketName,EAJava_int,BookTickets
