id,element,attributeNum,operationNum,instanceVarNum,externalOperNum,parameterNum,weightedOperNum,numberOfDerivedClasses,numberOfChildren,numberOfClassesInherited,depthInheritanceTree,numberOfDerivingClasses,isTopLevelClass,numberOfClassesInheritedFrom,numberOfInheritanceRelationships,numberOfAssociatedClasses,numberOfAssociatingClasses,numberOfAssociationRelationships,numberOfUsedClasses,numberOfUsingClasses,numberOfUsageRelationships,couplingBetweenObjects
1,ChoosingDegreeProgramPage,0,5,0,1,0,0.3,0,0,0,0,0,true,0,0,0,147,147,0,0,0,147
2,Course,10,1,10,1,0,0.3,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
3,CourseController,0,6,0,4,0,0.3,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
4,CourseGroupController,0,4,0,4,0,0.3,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
5,Degree,4,1,4,1,0,0.3,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
6,DegreeController,0,5,0,5,0,0.3,0,0,0,0,0,true,0,0,147,0,147,0,0,0,147
7,DesiredCoursesSelectionPage,0,9,0,1,0,0.3,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
8,Requirement,4,3,4,1,0,0.3,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
9,RequirementController,0,4,0,4,0,0.3,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
10,SemesterSelectionPlage,0,7,0,1,0,0.3,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
11,SimpleRequirementController,0,4,0,4,0,0.3,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
12,Simple_Requirement,6,1,6,1,0,0.3,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
13,StudyPlanController,0,11,0,10,0,0.3,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
14,StudyPlanOutputPage,0,4,0,1,0,0.3,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
15,course_group,4,2,4,1,0,0.3,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
16,$help://actor.htm,0,1,0,1,0,0.3,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
17,$help://use_case_model_pattern.htm,0,2,0,1,0,0.3,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
18,$help://usecasediagram.htm,0,1,0,1,0,0.3,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
19,System Boundary,0,1,0,1,0,0.3,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
20,addnewusertothedb,0,3,0,1,0,0.3,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
