id,element,NOCH,DIT,CBO,NUMS,NCI,NCIF
1,ChoosingDegreeProgramPage,0,0,147,0,0,0
2,Course,0,0,0,0,0,0
3,CourseController,0,0,0,0,0,0
4,CourseGroupController,0,0,0,0,0,0
5,Degree,0,0,0,0,0,0
6,DegreeController,0,0,147,0,0,0
7,DesiredCoursesSelectionPage,0,0,0,0,0,0
8,Requirement,0,0,0,0,0,0
9,RequirementController,0,0,0,0,0,0
10,SemesterSelectionPlage,0,0,0,0,0,0
11,SimpleRequirementController,0,0,0,0,0,0
12,Simple_Requirement,0,0,0,0,0,0
13,StudyPlanController,0,0,0,0,0,0
14,StudyPlanOutputPage,0,0,0,0,0,0
15,course_group,0,0,0,0,0,0
16,$help://actor.htm,0,0,0,0,0,0
17,$help://use_case_model_pattern.htm,0,0,0,0,0,0
18,$help://usecasediagram.htm,0,0,0,0,0,0
19,System Boundary,0,0,0,0,0,0
20,addnewusertothedb,0,0,0,0,0,0
