id,element,useCase,type,component
1,User:add new course page,Add new courses,entity,Course
2,User:addition fails,Add new courses,boundary,additionfails
3,User:deletion success message,Add new courses,boundary,DesiredCoursesSelectionPage
4,User:requirements lists,Add new courses,boundary,Requirement
5,add courses to db:show confirmation course is added,Add new courses,boundary,DesiredCoursesSelectionPage
6,add courses to db:course,Add new courses,entity,Course
7,add courses to db:addition fails,Add new courses,boundary,additionfails
8,check correctness of the input:add courses to db,Add new courses,entity,Course
9,add new course page:check correctness of the input,Add new courses,boundary,DesiredCoursesSelectionPage
10,check correctness of the input:requirements lists,Add new courses,boundary,Requirement
11,check correctness of the input:course,Add new courses,entity,Course
12,show confirmation course is added:deletion success message,Add new courses,boundary,DesiredCoursesSelectionPage
13,stl#User:add new course page,Add new courses,Stimulus,undefined
14,stl#User:addition fails,Add new courses,Stimulus,undefined
15,stl#User:deletion success message,Add new courses,Stimulus,undefined
16,stl#User:requirements lists,Add new courses,Stimulus,undefined
17,User:updae success message,Add new degreee requirement,boundary,DesiredCoursesSelectionPage
18,User:incorrect input,Add new degreee requirement,boundary,DesiredCoursesSelectionPage
19,User:choose requirement types,Add new degreee requirement,boundary,Requirement
20,User:requirements lists,Add new degreee requirement,boundary,Requirement
21,check correct newss of the input:incorrect input,Add new degreee requirement,boundary,DesiredCoursesSelectionPage
22,check correct newss of the input:show confirmation the new requirement is added,Add new degreee requirement,boundary,Requirement
23,check correct newss of the input:course requirements,Add new degreee requirement,boundary,Requirement
24,show specified requirements by parameters:check correct newss of the input,Add new degreee requirement,boundary,DesiredCoursesSelectionPage
25,choose requirement types:show specified requirements by parameters,Add new degreee requirement,boundary,Requirement
26,show specified requirements by parameters:course requirements,Add new degreee requirement,boundary,Requirement
27,show specified requirements by parameters:requirements lists,Add new degreee requirement,boundary,Requirement
28,show confirmation the new requirement is added:updae success message,Add new degreee requirement,boundary,DesiredCoursesSelectionPage
29,stl#User:updae success message,Add new degreee requirement,Stimulus,undefined
30,stl#User:incorrect input,Add new degreee requirement,Stimulus,undefined
31,stl#User:choose requirement types,Add new degreee requirement,Stimulus,undefined
32,stl#User:requirements lists,Add new degreee requirement,Stimulus,undefined
33,User:input is incorrect,Delete Cources,boundary,DesiredCoursesSelectionPage
34,User:delete button,Delete Cources,boundary,SemesterSelectionPlage
35,User:deletion fails,Delete Cources,boundary,additionfails
36,User:delete success message,Delete Cources,boundary,DesiredCoursesSelectionPage
37,check correctness of the input:course,Delete Cources,entity,Course
38,check correctness of the input:delete course,Delete Cources,entity,Course
39,check correctness of the input:input is incorrect,Delete Cources,boundary,DesiredCoursesSelectionPage
40,delete button:check correctness of the input,Delete Cources,boundary,DesiredCoursesSelectionPage
41,delete course:course,Delete Cources,entity,Course
42,delete course:deletion fails,Delete Cources,boundary,additionfails
43,delete course:show confirmation course is deleted,Delete Cources,boundary,DesiredCoursesSelectionPage
44,show confirmation course is deleted:delete success message,Delete Cources,boundary,DesiredCoursesSelectionPage
45,stl#User:input is incorrect,Delete Cources,Stimulus,undefined
46,stl#User:delete button,Delete Cources,Stimulus,undefined
47,stl#User:deletion fails,Delete Cources,Stimulus,undefined
48,stl#User:delete success message,Delete Cources,Stimulus,undefined
49,User:Delete requirement button,Delete degress requirement,boundary,Requirement
50,User:deletion success message,Delete degress requirement,boundary,DesiredCoursesSelectionPage
51,User:requirements lists,Delete degress requirement,boundary,Requirement
52,User:deletion can not finish,Delete degress requirement,boundary,DesiredCoursesSelectionPage
53,Delete requirement button:check correctness of the input,Delete degress requirement,boundary,DesiredCoursesSelectionPage
54,check correctness of the input:requirements lists,Delete degress requirement,boundary,Requirement
55,check correctness of the input:delete requirement from db,Delete degress requirement,boundary,Requirement
56,check correctness of the input:course requirements,Delete degress requirement,boundary,Requirement
57,delete requirement from db:course requirements,Delete degress requirement,boundary,Requirement
58,delete requirement from db:deletion can not finish,Delete degress requirement,boundary,DesiredCoursesSelectionPage
59,delete requirement from db:show confirmation requirement is deleted,Delete degress requirement,control,RequirementController
60,show confirmation requirement is deleted:deletion success message,Delete degress requirement,boundary,DesiredCoursesSelectionPage
61,stl#User:Delete requirement button,Delete degress requirement,Stimulus,undefined
62,stl#User:deletion success message,Delete degress requirement,Stimulus,undefined
63,stl#User:requirements lists,Delete degress requirement,Stimulus,undefined
64,stl#User:deletion can not finish,Delete degress requirement,Stimulus,undefined
65,User:Login page,Log in,boundary,ChoosingDegreeProgramPage
66,User:homepage,Log in,boundary,ChoosingDegreeProgramPage
67,User:username or password is wrong,Log in,control,CourseController
68,Login page:retrieve information associated with username,Log in,boundary,SemesterSelectionPlage
69,retrieve information associated with username:homepage,Log in,boundary,ChoosingDegreeProgramPage
70,retrieve information associated with username:username or password is wrong,Log in,control,CourseController
71,retrieve information associated with username:username db,Log in,boundary,SemesterSelectionPlage
72,stl#User:Login page,Log in,Stimulus,undefined
73,stl#User:homepage,Log in,Stimulus,undefined
74,stl#User:username or password is wrong,Log in,Stimulus,undefined
75,User:logout button,Log out,boundary,StudyPlanOutputPage
76,User:logout message,Log out,boundary,StudyPlanOutputPage
77,User:homepage,Log out,boundary,ChoosingDegreeProgramPage
78,show message that senssion was closed:homepage,Log out,boundary,ChoosingDegreeProgramPage
79,logout button:show message that senssion was closed,Log out,boundary,DesiredCoursesSelectionPage
80,show message that senssion was closed:logout message,Log out,boundary,StudyPlanOutputPage
81,show message that senssion was closed:username db,Log out,boundary,SemesterSelectionPlage
82,stl#User:logout button,Log out,Stimulus,undefined
83,stl#User:logout message,Log out,Stimulus,undefined
84,stl#User:homepage,Log out,Stimulus,undefined
85,User:add new course pageupdate source page,Update attribute of already available courses,boundary,course_group
86,User:update fails,Update attribute of already available courses,boundary,additionfails
87,User:requirements lists,Update attribute of already available courses,boundary,Requirement
88,User:update success message,Update attribute of already available courses,boundary,SemesterSelectionPlage
89,User:input data is not currect message,Update attribute of already available courses,boundary,DesiredCoursesSelectionPage
90,add new course pageupdate source page:check correctness of the input,Update attribute of already available courses,boundary,DesiredCoursesSelectionPage
91,check correctness of the input:update courses to db,Update attribute of already available courses,entity,Course
92,check correctness of the input:course,Update attribute of already available courses,entity,Course
93,check correctness of the input:requirements lists,Update attribute of already available courses,boundary,Requirement
94,check correctness of the input:input data is not currect message,Update attribute of already available courses,boundary,DesiredCoursesSelectionPage
95,update courses to db:course,Update attribute of already available courses,entity,Course
96,show confirmation course is updated:update success message,Update attribute of already available courses,boundary,SemesterSelectionPlage
97,update courses to db:show confirmation course is updated,Update attribute of already available courses,boundary,DesiredCoursesSelectionPage
98,update courses to db:update fails,Update attribute of already available courses,boundary,additionfails
