id,path,functional,transactional,path_length, boundry_num, control_num, entity_num, actor_num, diagram,useCase
1,Employee->Coupon Redeem Page->Enter password->Is network connection working->Alert message page,EQ,CTRL|INT,5,undefined,2,0,1,Notify Partner of Redemption,Notify Partner of Redemption
2,Employee->Coupon Redeem Page->Enter password->Is network connection working->Is password valid?->Redeem failed page,EQ,CTRL|INT,6,undefined,3,0,1,Notify Partner of Redemption,Notify Partner of Redemption
3,Employee->Coupon Redeem Page->Enter password->Is network connection working->Is password valid?->is there similiar transaction->Alert message page,EQ,CTRL|INT,7,undefined,4,0,1,Notify Partner of Redemption,Notify Partner of Redemption
4,Employee->Coupon Redeem Page->Enter password->Is network connection working->Is password valid?->is there similiar transaction->Enter Password->Traveler Account,EI,CTRL|DM|EI,8,undefined,5,1,1,Notify Partner of Redemption,Notify Partner of Redemption
5,Employee->Coupon Redeem Page->Enter password->Is network connection working->Is password valid?->is there similiar transaction->Enter Password->Display Redeem Coupon Page->Redeem Success Page,EQ,CTRL|INT,9,undefined,6,0,1,Notify Partner of Redemption,Notify Partner of Redemption
6,Traveler->Coupon Redeem Page->Enter password->Is network connection working->Alert message page,EQ,CTRL|INT,5,undefined,2,0,1,Notify Partner of Redemption,Notify Partner of Redemption
7,Traveler->Coupon Redeem Page->Enter password->Is network connection working->Is password valid?->Redeem failed page,EQ,CTRL|INT,6,undefined,3,0,1,Notify Partner of Redemption,Notify Partner of Redemption
8,Traveler->Coupon Redeem Page->Enter password->Is network connection working->Is password valid?->is there similiar transaction->Alert message page,EQ,CTRL|INT,7,undefined,4,0,1,Notify Partner of Redemption,Notify Partner of Redemption
9,Traveler->Coupon Redeem Page->Enter password->Is network connection working->Is password valid?->is there similiar transaction->Enter Password->Traveler Account,EI,CTRL|DM|EI,8,undefined,5,1,1,Notify Partner of Redemption,Notify Partner of Redemption
10,Traveler->Coupon Redeem Page->Enter password->Is network connection working->Is password valid?->is there similiar transaction->Enter Password->Display Redeem Coupon Page->Redeem Success Page,EQ,CTRL|INT,9,undefined,6,0,1,Notify Partner of Redemption,Notify Partner of Redemption
