id,element,type,outboundDegree,inboundDegree,diagram,useCase
1,Authorization success,boundary,1,1,Specify default payment method use case,Specify default payment method use case,
2,Display Success Page,control,1,1,Specify default payment method use case,Specify default payment method use case,
3,Payment Processor,entity,1,1,Specify default payment method use case,Specify default payment method use case,
4,HTTPS Connection,control,1,1,Specify default payment method use case,Specify default payment method use case,
5,Payment Cateway,entity,1,1,Specify default payment method use case,Specify default payment method use case,
6,Merchant Web Server Account,entity,1,4,Specify default payment method use case,Specify default payment method use case,
7,HTTPS Connection,control,1,1,Specify default payment method use case,Specify default payment method use case,
8,Subscription,entity,0,0,Specify default payment method use case,Specify default payment method use case,
9,HTTPs Connection,control,1,1,Specify default payment method use case,Specify default payment method use case,
10,Check internet,control,0,1,Specify default payment method use case,Specify default payment method use case,
11,Check all details are entered,control,2,1,Specify default payment method use case,Specify default payment method use case,
12,HTTPS Connection,control,1,2,Specify default payment method use case,Specify default payment method use case,
13,Acquirer Bank,entity,2,2,Specify default payment method use case,Specify default payment method use case,
14,Display Success Page,control,2,1,Specify default payment method use case,Specify default payment method use case,
15,Validate details with user's bank account,control,2,3,Specify default payment method use case,Specify default payment method use case,
16,enter details,control,2,1,Specify default payment method use case,Specify default payment method use case,
17,Payment Screen,boundary,3,2,Specify default payment method use case,Specify default payment method use case,
18,Business Partner,actor,4,0,Specify default payment method use case,Specify default payment method use case,
