id,element,useCase,type,outboundDegree,inboundDegree
1,Actor:Range Buttons(Default myhome),Search by Location,0,undefined,undefined
2,Actor:Location Screen,Search by Location,0,undefined,undefined
3,Actor:Photo Search Result List View,Search by Location,0,undefined,undefined
4,Actor:Photo View,Search by Location,0,undefined,undefined
5,List Mutator:Photo Search Result List,Search by Location,0,undefined,undefined
6,Perform Default Search:List Mutator,Search by Location,0,undefined,undefined
7,Perform Select Range Search:List Mutator,Search by Location,0,undefined,undefined
8,Photo Search Result List View:List Mutator,Search by Location,0,undefined,undefined
9,Location Screen:Perform Default Search,Search by Location,0,undefined,undefined
10,User:Location Screen,Search by Location,0,undefined,undefined
11,Perform Default Search:Photo Database,Search by Location,0,undefined,undefined
12,Perform Select Range Search:Photo Database,Search by Location,0,undefined,undefined
13,Range Buttons(Default myhome):Perform Select Range Search,Search by Location,0,undefined,undefined
14,User:Photo Search Result List View,Search by Location,0,undefined,undefined
15,Photo View:User Directed to View Photo Use Case,Search by Location,0,undefined,undefined
16,User:Photo View,Search by Location,0,undefined,undefined
17,User:Range Buttons(Default myhome),Search by Location,0,undefined,undefined
18,stl#Actor:Range Buttons(Default myhome),Search by Location,0,undefined,undefined
19,stl#Actor:Location Screen,Search by Location,0,undefined,undefined
20,stl#Actor:Photo Search Result List View,Search by Location,0,undefined,undefined
21,stl#Actor:Photo View,Search by Location,0,undefined,undefined
22,stl#User:Location Screen,Search by Location,0,undefined,undefined
23,stl#User:Photo Search Result List View,Search by Location,0,undefined,undefined
24,stl#User:Photo View,Search by Location,0,undefined,undefined
25,stl#User:Range Buttons(Default myhome),Search by Location,0,undefined,undefined
