id,path,functional,transactional,path_length,diagram,useCase
1,User->Build button->compile C/C++->WinAVR,FUNC_NA,CTRL|EXTIVK,undefined,Compile,Compile
2,User->Build button->compile C/C++->Compiling progress bar,EQ,CTRL|INT,undefined,Compile,Compile
3,User->Build button->compile C/C++->Compiling success message,EQ,CTRL|INT,undefined,Compile,Compile
