id,element,useCase,type,component
1,User:Homepage,View message history,boundary,Homepage
2,User:View message history,View message history,boundary,Homepage
3,Choose one of message and Click the View button:Confirmation page,View message history,boundary,Homepage
4,View message history:Choose one of message and Click the View button,View message history,boundary,Homepage
5,Confirmation page:Homepage,View message history,boundary,Homepage
6,Confirmation page:View message history,View message history,boundary,Homepage
7,stl#User:Homepage,View message history,Stimulus,undefined
8,stl#User:View message history,View message history,Stimulus,undefined
