id,element,useCase,type,component
1,User:Homepage,View Client Schedule,boundary,Homepage
2,User:View Client Schedule Page,View Client Schedule,boundary,Client
3,Choose one of  client appointment spreadsheet:Show confirmation page,View Client Schedule,control,Checkallrequiredinformation
4,Choose one of  client appointment spreadsheet:Remove chosen appointment,View Client Schedule,control,Appointment
5,View Client Schedule Page:Choose one of  client appointment spreadsheet,View Client Schedule,control,Appointment
6,Show confirmation page:Homepage,View Client Schedule,boundary,Homepage
7,Remove chosen appointment:Show confirmation page,View Client Schedule,control,Checkallrequiredinformation
8,Show confirmation page:View Client Schedule Page,View Client Schedule,boundary,Client
9,stl#User:Homepage,View Client Schedule,Stimulus,undefined
10,stl#User:View Client Schedule Page,View Client Schedule,Stimulus,undefined
