id,element,useCase,type,component
1,send reset link by email:Email Protocol,Add users,control,EmailProtocol
2,User:User add page,Add users,boundary,saveuserinformationsuccessmessage
3,User:User add button,Add users,boundary,Useraddbutton
4,User:save user information success message,Add users,boundary,saveuserinformationsuccessmessage
5,User add button:display user add page,Add users,boundary,Useraddbutton
6,User add page:save user information,Add users,boundary,saveuserinformationsuccessmessage
7,User add page:send reset link by email,Add users,control,EmailProtocol
8,display user add page:User add page,Add users,boundary,Useraddbutton
9,save user information:User info,Add users,boundary,Useraddbutton
10,save user information:save user information success message,Add users,boundary,saveuserinformationsuccessmessage
11,stl#User:User add page,Add users,Stimulus,undefined
12,stl#User:User add button,Add users,Stimulus,undefined
13,stl#User:save user information success message,Add users,Stimulus,undefined
14,User:Delete user info success,Delete users,boundary,saveuserinformationsuccessmessage
15,User:User List,Delete users,boundary,Useraddbutton
16,User:User info page,Delete users,boundary,saveuserinformationsuccessmessage
17,Delete user info:Delete user info success,Delete users,boundary,saveuserinformationsuccessmessage
18,Delete user info:User info,Delete users,boundary,Useraddbutton
19,User info page:Delete user info,Delete users,boundary,saveuserinformationsuccessmessage
20,User List:query user info,Delete users,boundary,saveuserinformationsuccessmessage
21,query user info:User info,Delete users,boundary,Useraddbutton
22,query user info:User info page,Delete users,boundary,saveuserinformationsuccessmessage
23,stl#User:Delete user info success,Delete users,Stimulus,undefined
24,stl#User:User List,Delete users,Stimulus,undefined
25,stl#User:User info page,Delete users,Stimulus,undefined
26,Admin:Types of attendance,Export attendance,control,Typesofattendance
27,Admin:Attendance page,Export attendance,control,Typesofattendance
28,Admin:Data export success message,Export attendance,control,Typesofattendance
29,Admin:Select attendance button,Export attendance,control,Typesofattendance
30,Staff:Data export success message,Export attendance,control,Typesofattendance
31,Staff:Types of attendance,Export attendance,control,Typesofattendance
32,Staff:Attendance page,Export attendance,control,Typesofattendance
33,Attendance page:display type of attendance for export,Export attendance,control,Typesofattendance
34,Display attendance page:Attendance page,Export attendance,control,Typesofattendance
35,Select file location to save:Data export success message,Export attendance,control,Typesofattendance
36,Display attendance page:attendance,Export attendance,control,Typesofattendance
37,Select attendance button:Display attendance page,Export attendance,control,Typesofattendance
38,Select file location to save:csv files,Export attendance,control,csvfiles
39,export data to csv file:Select file location to save,Export attendance,control,csvfiles
40,Types of attendance:export data to csv file,Export attendance,control,csvfiles
41,display type of attendance for export:Types of attendance,Export attendance,control,Typesofattendance
42,display type of attendance for export:attendance,Export attendance,control,Typesofattendance
43,stl#Admin:Types of attendance,Export attendance,Stimulus,undefined
44,stl#Admin:Attendance page,Export attendance,Stimulus,undefined
45,stl#Admin:Data export success message,Export attendance,Stimulus,undefined
