id,path,functional,transactional,path_length, boundry_num, control_num, entity_num, actor_num, diagram,useCase
1,Admin->Select attendance button->Display attendance page->attendance,EI,CTRL|DM|EI,4,undefined,1,1,1,Export attendance,Export attendance
2,Admin->Select attendance button->Display attendance page->Attendance page,EQ,CTRL|INT,4,undefined,1,0,1,Export attendance,Export attendance
3,Admin->Attendance page->display type of attendance for export->attendance,EI,CTRL|DM|EI,4,undefined,1,1,1,Export attendance,Export attendance
4,Admin->Attendance page->display type of attendance for export->Types of attendance,EQ,CTRL|INT,4,undefined,1,0,1,Export attendance,Export attendance
5,Admin->Types of attendance->export data to csv file->Select file location to save->csv files,EI,CTRL|DM|EI,5,undefined,2,1,1,Export attendance,Export attendance
6,Admin->Types of attendance->export data to csv file->Select file location to save->Data export success message,EQ,CTRL|INT,5,undefined,2,0,1,Export attendance,Export attendance
7,Staff->Attendance page->display type of attendance for export->attendance,EI,CTRL|DM|EI,4,undefined,1,1,1,Export attendance,Export attendance
8,Staff->Attendance page->display type of attendance for export->Types of attendance,EQ,CTRL|INT,4,undefined,1,0,1,Export attendance,Export attendance
9,Staff->Types of attendance->export data to csv file->Select file location to save->csv files,EI,CTRL|DM|EI,5,undefined,2,1,1,Export attendance,Export attendance
10,Staff->Types of attendance->export data to csv file->Select file location to save->Data export success message,EQ,CTRL|INT,5,undefined,2,0,1,Export attendance,Export attendance
