id,element,type,outboundDegree,inboundDegree,diagram,useCase
1,Select file location to save,control,2,1,Export attendance,Export attendance,
2,csv files,entity,0,1,Export attendance,Export attendance,
3,export data to csv file,control,1,1,Export attendance,Export attendance,
4,Staff,actor,3,0,Export attendance,Export attendance,
5,Data export success message,boundary,0,3,Export attendance,Export attendance,
6,display type of attendance for export,control,2,1,Export attendance,Export attendance,
7,Types of attendance,boundary,1,3,Export attendance,Export attendance,
8,Attendance page,boundary,1,3,Export attendance,Export attendance,
9,attendance,entity,0,2,Export attendance,Export attendance,
10,Display attendance page,control,2,1,Export attendance,Export attendance,
11,Select attendance button,boundary,1,1,Export attendance,Export attendance,
12,Admin,actor,4,0,Export attendance,Export attendance,
