id,path,functional,transactional,path_length,diagram,useCase
1,Traveler->Manage trip plan screen->trip plan controller->fetch place->Place,EI,CTRL|DM|EI,undefined,View Trip Plan on Map and get Directions,View Trip Plan on Map and get Directions
2,Traveler->Manage trip plan screen->trip plan controller->Display->View trip plan on map screen,EQ,CTRL|INT,undefined,View Trip Plan on Map and get Directions,View Trip Plan on Map and get Directions
3,Traveler->Manage trip plan screen->trip plan controller->fetch map->Map,EI,CTRL|DM|EI,undefined,View Trip Plan on Map and get Directions,View Trip Plan on Map and get Directions
