id,element,useCase,type,component
1,User:file information input page,Save File,boundary,demoinstructioncreatepanel
2,User:Save file button,Save File,boundary,Buildbutton
3,User:File save success,Save File,control,Filesavesuccess
4,validate filename:File save success,Save File,control,Filesavesuccess
5,Save file button:popup file information save dialog,Save File,control,Filesavesuccess
6,save file:file,Save File,control,Filesavesuccess
7,file information input page:validate filename,Save File,control,parametersetdialog
8,popup file information save dialog:file information input page,Save File,boundary,demoinstructioncreatepanel
9,validate filename:save file,Save File,control,Filesavesuccess
10,stl#User:file information input page,Save File,Stimulus,undefined
11,stl#User:Save file button,Save File,Stimulus,undefined
12,stl#User:File save success,Save File,Stimulus,undefined
