"","model1","model2","metric","direction","mean1","mean2","84% CI1","84% CI2"
"2","cosmic","tm3","mmre","-",2.831,0.679,"[1.719, 4.295]","[0.528, 0.847]"
"3","fp","tm3","mmre","-",1.917,0.679,"[1.324, 2.736]","[0.528, 0.847]"
"7","sloc","tm3","mmre","-",2.788,0.679,"[1.866, 3.945]","[0.528, 0.847]"
"8","tm3","ucp","mmre","+",0.679,4.517,"[0.528, 0.847]","[2.753, 6.679]"
"9","cosmic","tm3","mdmre","-",1.743,0.63,"[0.803, 3.085]","[0.446, 0.787]"
"10","fp","tm3","mdmre","-",1.47,0.63,"[0.802, 2.082]","[0.446, 0.787]"
"13","sloc","tm3","mdmre","-",2.658,0.63,"[2.075, 3.593]","[0.446, 0.787]"
"14","tm3","ucp","mdmre","+",0.63,2.623,"[0.446, 0.787]","[1.706, 4.078]"
"16","cosmic","tm3","mae","-",9.907,2.378,"[6.015, 15.032]","[1.847, 2.966]"
"17","fp","tm3","mae","-",6.71,2.378,"[4.634, 9.576]","[1.847, 2.966]"
"21","sloc","tm3","mae","-",9.758,2.378,"[6.532, 13.808]","[1.847, 2.966]"
"22","tm3","ucp","mae","+",2.378,15.81,"[1.847, 2.966]","[9.635, 23.377]"
