"","mmre","rank1","pred25","rank2","mdmre","rank3","mae","rank4","rank*"
"TRAN",0.81,1,0.06,2,0.72,1,2.64,1,1
"LOG_SLOC",0.9,2,0.06,2,0.77,2,3.02,2,2
"IFPUG",1.26,3,0.06,4,0.99,3,4.21,3,3
"COSMIC",2.13,5,0.07,1,1.2,4,7.2,5,4
"SLOC",1.94,4,0,5,1.59,6,6.53,4,5
"UCP",3.08,6,0,5,1.55,5,10.47,6,6
