"","swtiii_l1","SWTIII","swtii_l1","swtii_l2","swtii_l3","swtii_l4","swtii_l5","SWTII","swti_l1","SWTI","UUCP","AFP","COSMIC","SLOC","LOG_SLOC","Effort","Trans","Stm","Comp","TL","TL_SE","TD","TD_SE","DETs","DETs_SE"
"2048_S1W1L1_2019-4-28@1559050698438",7,6.93439221642963,3,0,4,0,0,21.9868963735171,7,6.97913854638747,25,110,12,864.0555762,6.76163709104089,2560,7,7,7,3.57142857142857,2.07019667802706,5.59183673469388,0.716059777238143,2,0.577350269189626
"AFHDownloader_S1W1L1_2019-6-12@1562926542058",5,4.95313729744973,4,0,1,0,0,10.2680932273867,5,4.98509896170534,15,71,6,462.4333623,6.13650246505823,1120,5,5,11,2.4,0.894427190999916,1.15,0.487339717240448,3.8,1.30384048104053
"AnExplorer_S1W1L1_2019-4-29@1559144669093",20,19.8125491897989,0,2,7,0,11,62.4887863102115,20,19.9403958468214,50,77,253,1691.458056,7.43334619098751,3167,20,20,7,37.2,67.9385170964392,163.574906826022,37.2427662268937,26.3,45.1385003132173
"AnotherMonitor_S1W1L1_2019-4-28@1559050904766",40,39.6250983795979,3,0,24,0,13,143.921048004658,40,39.8807916936427,50,115,318,921.8907149,6.82642668605408,13203,40,40,7,15.4,19.7000585707837,138.151260336262,61.2522435180215,23.525,30.9946128487037
"AntennaPod_S1W1L1_2019-4-29@1559165229414",65,64.3907848668465,0,0,43,0,22,246.587105077653,65,64.8062865021694,65,151,292.76,2989.988529,8.00302482992252,13253,65,65,7,103.953846153846,266.30852823659,1559.53887276133,118.071807653562,42.0923076923077,101.357461965826
"CallRecorder_S1W1L1_2019-6-12@1562926518816",5,4.95313729744973,2,0,3,0,0,16.1231438852142,5,4.98509896170534,65,113,22,1539.126234,7.33897015386696,2520,5,5,7,6,7.84219357067906,7.13666666666667,1.91602887939265,6,7.84219357067906
"clipstack_S1W1L1_2019-4-28@1559050933965",72,71.3251770832762,36,15,4,17,0,311.188329495841,72,71.7854250485569,60,171,155,1294.286347,7.16571473883369,34711,72,72,9,4.90277777777778,7.17420991816672,23.9245364069484,9.07653878992431,4.66666666666667,7.40764736178901
"EasySoundRecorder_S1W1L1_2019-4-29@1559141326432",1,0.990627459489947,1,0,0,0,0,1.4681135796946,1,0.997019792341068,25,86,13,455.1960895,6.12072829204587,713,12,12,7,2,NA,0.5,NA,2,NA
"F-Droid_S1W1L1_2019-6-12@1562926491807",0,0,0,0,0,0,0,0,0,0,45,76,0,1354.748842,7.21137135967561,2410,0,0,0,NA,NA,NA,NA,NA,NA
"Firefox_Klar_S1W1L1_2019-5-15@1560625157760",5,4.95313729744973,5,0,0,0,0,7.34056789847298,5,4.98509896170534,70,107,5,1410.264339,7.25153244026916,2627,5,5,8,2,0,2.5,0,4.4,0.894427190999916
"kindle_s1w1l1_2019-4-29@1559196356153",21,20.8031766492889,15,0,6,0,0,48.3955371470689,21,20.9374156391624,55,125,97,873.2551271,6.77222775495513,4266,48,48,8,2.9047619047619,2.04706526287664,14.7218614718615,0.68226897074797,3.14285714285714,4.33919018119412
"KISS_s1w1l1_2019-4-29@1559196366893",73,72.3158045427661,24,38,0,11,0,232.495669499663,73,72.782444840898,50,125,246,1642.298753,7.40385221804225,19568,73,73,7,5.46575342465753,14.1961283765258,57.72363230769,27.2966150401382,5.05479452054795,11.4016207558386
"leafpic_S1W1L1_2019-4-28@1559051230049",1,0.990627459489947,1,0,0,0,0,1.4681135796946,1,0.997019792341068,70,132,168.3,1996.161707,7.59898146912089,4779,1,1,8,2,NA,0.5,NA,3,NA
"manglish_S1W1L1_2019-6-12@1562926484676",1,0.990627459489947,1,0,0,0,0,1.4681135796946,1,0.997019792341068,75,62,35.28,1340.776002,7.20100383129795,1200,1,1,4,2,NA,0.5,NA,2,NA
