"","model_labels","model_texts","model_estimator","R2","f_test","Rank"
"2","fp","IFPUG","LSR",0.45,0.1,1
"5","tm3","TRAN","LSR",0.21,0.26,2
"1","cosmic","COSMIC","LSR",0.13,0.69,3
"4","sloc","SLOC","LSR",0.11,0.73,4
"3","ln_sloc","LOG_SLOC","LSR",0,0.8,5
"6","ucp","UCP","LSR",0,1,5
