id,element,useCase,type,component
1,Student:genealogy statistics,Hide info,boundary,Statistics
2,Student:error message for not statistics,Hide info,boundary,Statistics
3,Student:video frame,Hide info,boundary,videoframe
4,Student:Hide info button,Hide info,boundary,Hideinfobutton
5,Hide info button:hide the genealogy and statistics frames,Hide info,boundary,Statistics
6,calculate genealogy statisticss:error message for not statistics,Hide info,boundary,Statistics
7,calculate genealogy statisticss:genealogy statistics,Hide info,boundary,Statistics
8,hide the genealogy and statistics frames:calculate genealogy statisticss,Hide info,boundary,Statistics
9,circle identification in video:video frame,Hide info,boundary,videoframe
10,hide the genealogy and statistics frames:circle identification in video,Hide info,boundary,Statistics
11,hide the genealogy and statistics frames:genealogy statistics,Hide info,boundary,Statistics
12,hide the genealogy and statistics frames:video frame,Hide info,boundary,videoframe
13,stl#Student:genealogy statistics,Hide info,Stimulus,undefined
14,stl#Student:error message for not statistics,Hide info,Stimulus,undefined
15,stl#Student:video frame,Hide info,Stimulus,undefined
16,stl#Student:Hide info button,Hide info,Stimulus,undefined
17,Student:genealogy statistics,Play/pause/resize video,boundary,Statistics
18,Student:video frame,Play/pause/resize video,boundary,videoframe
19,Student:play pause resice buttons of video player,Play/pause/resize video,boundary,videoframe
20,control video player:Video player,Play/pause/resize video,boundary,videoframe
21,control video player:genealogy statistics,Play/pause/resize video,boundary,Statistics
22,control video player:video frame,Play/pause/resize video,boundary,videoframe
23,play pause resice buttons of video player:control video player,Play/pause/resize video,boundary,videoframe
24,stl#Student:genealogy statistics,Play/pause/resize video,Stimulus,undefined
25,stl#Student:video frame,Play/pause/resize video,Stimulus,undefined
26,stl#Student:play pause resice buttons of video player,Play/pause/resize video,Stimulus,undefined
27,Student:transcript frame of the home page,Rolling transcripts,boundary,Yanomamo HomePage
28,Student:Control bar of the video,Rolling transcripts,boundary,videoframe
29,Control bar of the video:display the transcirpt block on the video frame,Rolling transcripts,boundary,videoframe
30,display the transcirpt block on the video frame:transcript frame of the home page,Rolling transcripts,boundary,Yanomamo HomePage
31,stl#Student:transcript frame of the home page,Rolling transcripts,Stimulus,undefined
32,stl#Student:Control bar of the video,Rolling transcripts,Stimulus,undefined
33,Student:static map of the tribe's village,View maps of the villege,control,Village Map Page
