id,element,attributeNum,operationNum,instanceVarNum,externalOperNum,parameterNum,weightedOperNum,numberOfDerivedClasses,numberOfChildren,numberOfClassesInherited,depthInheritanceTree,numberOfDerivingClasses,isTopLevelClass,numberOfClassesInheritedFrom,numberOfInheritanceRelationships,numberOfAssociatedClasses,numberOfAssociatingClasses,numberOfAssociationRelationships,numberOfUsedClasses,numberOfUsingClasses,numberOfUsageRelationships,couplingBetweenObjects
1,Genealogy,2,1,2,1,0,0.3,0,0,0,0,0,true,0,0,58,0,58,0,0,0,58
2,Image Gallery Page,1,1,1,1,0,0.3,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
3,Interactive Text,2,3,2,2,0,0.3,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
4,Statistics,3,3,3,1,0,0.3,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
5,Time Based Media(TBM),1,4,1,4,0,0.3,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
6,Village Map Page,1,2,1,1,0,0.3,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
7,Yanomamo HomePage,0,3,0,1,0,0.3,0,0,0,0,0,true,0,0,0,58,58,0,0,0,58
8,$help://usecasediagram.htm,0,1,0,1,0,0.3,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
9,$help://actor.htm,0,1,0,1,0,0.3,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
10,$help://use_case_model_pattern.htm,0,1,0,1,0,0.3,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
11,System Boundary,0,1,0,1,0,0.3,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
12,Student,0,1,0,1,0,0.3,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
13,videoframe,0,6,0,1,0,0.3,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
