id,element,type,outboundDegree,inboundDegree,diagram,useCase
1,invalid input information,boundary,0,2,Search for jobs,Search for jobs,
2,Sort search results,control,1,1,Search for jobs,Search for jobs,
3,Indeed.com,actor,1,1,Search for jobs,Search for jobs,
4,Invalid input data,boundary,0,2,Search for jobs,Search for jobs,
5,validate input data,control,1,1,Search for jobs,Search for jobs,
6,verify input information,control,3,1,Search for jobs,Search for jobs,
7,Job list page,boundary,1,2,Search for jobs,Search for jobs,
8,Search by input keywords from Indeed.com,control,2,1,Search for jobs,Search for jobs,
9,Job search page,boundary,1,1,Search for jobs,Search for jobs,
10,User,actor,4,0,Search for jobs,Search for jobs,
