id,element,type,outboundDegree,inboundDegree,diagram,useCase
1,Email Protocol,actor,0,1,login,Login,
2,send email including credential,control,1,1,login,Login,
3,Forgotten username or password link,boundary,1,1,login,Login,
4,redirect to login page,control,1,1,login,Login,
5,Invalid information error message,boundary,1,2,login,Login,
6,My account page,boundary,0,2,login,Login,
7,user info,entity,0,1,login,Login,
8,verify user information,control,3,1,login,Login,
9,Login page,boundary,1,2,login,Login,
10,User,actor,4,0,login,Login,
