id,element,useCase,type,component
1,Actor:Search box,Admin searches for photo by user,control,Searchbox
2,Actor:Admin page,Admin searches for photo by user,control,Adminpage
3,Actor:User list,Admin searches for photo by user,boundary,User
4,Account:Get user list,Admin searches for photo by user,boundary,User
5,pop up event connection error:Account,Admin searches for photo by user,entity,Account
6,User:Admin page,Admin searches for photo by user,control,Adminpage
7,pop up event connection error:Admin page,Admin searches for photo by user,control,Adminpage
8,Get user list:Admin page,Admin searches for photo by user,control,Adminpage
9,Display user list:User list,Admin searches for photo by user,boundary,User
10,Get user list:Display user list,Admin searches for photo by user,boundary,User
11,Get photo list:photo,Admin searches for photo by user,boundary,photolist
12,Get photo list:display photo list,Admin searches for photo by user,boundary,photolist
13,User list:Get photo list,Admin searches for photo by user,boundary,photolist
14,Get user list:Search box,Admin searches for photo by user,control,Searchbox
15,display photo list:Photo list,Admin searches for photo by user,boundary,photolist
16,Pop up photo connection error:User list,Admin searches for photo by user,boundary,User
17,photo:Pop up photo connection error,Admin searches for photo by user,boundary,photolist
18,User:Search box,Admin searches for photo by user,control,Searchbox
19,User:User list,Admin searches for photo by user,boundary,User
20,stl#Actor:Search box,Admin searches for photo by user,Stimulus,undefined
21,stl#Actor:Admin page,Admin searches for photo by user,Stimulus,undefined
22,stl#Actor:User list,Admin searches for photo by user,Stimulus,undefined
23,stl#User:Admin page,Admin searches for photo by user,Stimulus,undefined
24,stl#User:Search box,Admin searches for photo by user,Stimulus,undefined
25,stl#User:User list,Admin searches for photo by user,Stimulus,undefined
