id,element,type,outboundDegree,inboundDegree,diagram,useCase
1,update of product message,boundary,0,2,Approve pending product,Approve pending product,
2,notify update of product,control,1,1,Approve pending product,Approve pending product,
3,change product status,control,2,1,Approve pending product,Approve pending product,
4,product detail,boundary,1,2,Approve pending product,Approve pending product,
5,query product detail,control,2,1,Approve pending product,Approve pending product,
6,product list,boundary,1,2,Approve pending product,Approve pending product,
7,product,entity,0,3,Approve pending product,Approve pending product,
8,redirect to all product lists,control,2,1,Approve pending product,Approve pending product,
9,products tab,boundary,1,1,Approve pending product,Approve pending product,
10,Admin,actor,4,0,Approve pending product,Approve pending product,
