id,element,useCase,type,component
1,User:Logout page,logout,control,Homepage
2,User:Homepage,logout,control,Homepage
3,Display confirmation page:Homepage,logout,control,Homepage
4,Validate username and password:Display confirmation page,logout,control,Accessallstudentinformation
5,Log out and  terminate the session:Validate username and password,logout,entity,Database
6,Logout page:Log out and  terminate the session,logout,control,Accessallstudentinformation
7,stl#User:Logout page,logout,Stimulus,undefined
8,stl#User:Homepage,logout,Stimulus,undefined
