id, function, functional, DET, FTR, boundaries, controls, entities, typeStr
1,administrator:survey list page-->survey list page:retrieve the survey detail-->retrieve the survey detail:survey detail,EQ,1,3,0,3,0,control->control->control
2,administrator:survey list page-->survey list page:retrieve the survey detail-->retrieve the survey detail:check survey and insert to data to database-->check survey and insert to data to database:survey monkey,EQ,3,4,0,4,0,control->control->control->control
3,administrator:survey list page-->survey list page:retrieve the survey detail-->retrieve the survey detail:check survey and insert to data to database-->check survey and insert to data to database:survey database,EQ,3,4,0,4,0,control->control->control->control
4,administrator:survey list page-->survey list page:retrieve the survey detail-->retrieve the survey detail:check survey and insert to data to database-->check survey and insert to data to database:survey import page-->survey import page:retrieve survey detail-->retrieve survey detail:survey monkey,EQ,3,6,0,6,0,control->control->control->control->control->control
5,administrator:survey list page-->survey list page:retrieve the survey detail-->retrieve the survey detail:check survey and insert to data to database-->check survey and insert to data to database:survey import page-->survey import page:retrieve survey detail-->retrieve survey detail:prompt error message-->prompt error message:error message,EQ,3,7,0,7,0,control->control->control->control->control->control->control
6,administrator:error message,EQ,0,1,0,1,0,control
7,administrator:survey import page-->survey import page:retrieve survey detail-->retrieve survey detail:survey monkey,EQ,0,3,0,3,0,control->control->control
8,administrator:survey import page-->survey import page:retrieve survey detail-->retrieve survey detail:prompt error message-->prompt error message:error message,EQ,0,4,0,4,0,control->control->control->control
9,administrator:redirect to HKZ login page,EQ,0,1,1,0,0,boundary
10,administrator:logout button-->logout button:logout user-->logout user:redirect to HKZ login page,EQ,0,3,2,0,1,boundary->entity->boundary
11,administrator:new survey button-->new survey button:retrive school path and survey-->retrive school path and survey:survey list,EO,1,3,1,2,0,control->control->boundary
12,administrator:new survey button-->new survey button:retrive school path and survey-->retrive school path and survey:display school list-->display school list:shcool list-->shcool list:display path list-->display path list:survey list,EO,1,6,3,3,0,control->control->control->boundary->boundary->boundary
13,administrator:new survey button-->new survey button:retrive school path and survey-->retrive school path and survey:display school list-->display school list:shcool list-->shcool list:display path list-->display path list:path list,EO,2,6,3,3,0,control->control->control->boundary->boundary->boundary
14,administrator:new survey button-->new survey button:retrive school path and survey-->retrive school path and survey:display school list-->display school list:shcool list-->shcool list:display path list-->display path list:display survey list and question list-->display survey list and question list:survey list,EO,3,7,4,3,0,control->control->control->boundary->boundary->boundary->boundary
15,administrator:path list,EQ,1,1,1,0,0,boundary
16,administrator:survey list,EQ,0,1,1,0,0,boundary
