id,element,useCase,type,component
1,User:list of users,Delete User,entity,userinfo
2,User:confirmation deletion dialog,Delete User,control,displayinvalidemailformat
3,User:success message,Delete User,control,successmessage
4,User:"manage user" button,Delete User,boundary,logoutbutton
5,"manage user" button:redirect to a page for user management with current users,Delete User,boundary,redirecttoapagewiththecurerntsiteslist
6,confirmation deletion dialog:save the revised announcment info,Delete User,boundary,emptyannouncementform
7,confirmation deletion dialog:remove the user,Delete User,entity,userinfo
8,display confirmatio message:confirmation deletion dialog,Delete User,control,displayinvalidemailformat
9,save the revised announcment info:ddd,Delete User,entity,ddd
10,display confirmatio message:user info,Delete User,entity,userinfo
11,list of users:display confirmatio message,Delete User,control,displayinvalidemailformat
12,redirect to a page for user management with current users:list of users,Delete User,entity,userinfo
13,redirect to a page for user management with current users:user info,Delete User,entity,userinfo
14,remove the user:user info,Delete User,entity,userinfo
15,remove the user:success message,Delete User,control,successmessage
16,save the revised announcment info:success message,Delete User,control,successmessage
17,stl#User:list of users,Delete User,Stimulus,undefined
18,stl#User:confirmation deletion dialog,Delete User,Stimulus,undefined
19,stl#User:success message,Delete User,Stimulus,undefined
20,stl#User:"manage user" button,Delete User,Stimulus,undefined
