id,element,useCase,type,outboundDegree,inboundDegree
1,User:Previous Page,Connect to trip plan - Android,0,undefined,undefined
2,Collect information:Show trip plans page,Connect to trip plan - Android,0,undefined,undefined
3,Trip plans database table:Collect information,Connect to trip plan - Android,0,undefined,undefined
4,Verify user's session:Collect information,Connect to trip plan - Android,0,undefined,undefined
5,Show coupons:Collect information,Connect to trip plan - Android,0,undefined,undefined
6,Verify user's session:Login page,Connect to trip plan - Android,0,undefined,undefined
7,Previous Page:View trip plans,Connect to trip plan - Android,0,undefined,undefined
8,Show trip plans page:Redeem coupon,Connect to trip plan - Android,0,undefined,undefined
9,Remove coupon:Show trip plans page,Connect to trip plan - Android,0,undefined,undefined
10,Remove coupon:users' database table,Connect to trip plan - Android,0,undefined,undefined
11,View trip plans:Verify user's session,Connect to trip plan - Android,0,undefined,undefined
12,users' database table:Verify user's session,Connect to trip plan - Android,0,undefined,undefined
13,stl#User:Previous Page,Connect to trip plan - Android,0,undefined,undefined
