"","mmre","rank1","pred25","rank2","mdmre","rank3","mae","rank4","rank*"
"TRAN",0.81,1,0.06,5,0.72,2,2.64,1,1
"LOG_SLOC",0.9,2,0.06,5,0.77,3,3.02,2,2
"NEURAL_NET",1.69,5,0.15,2,0.68,1,5.69,5,3
"REG_TREE",1.43,4,0.24,1,1.12,6,4.85,4,4
"IFPUG",1.26,3,0.06,7,0.99,4,4.21,3,5
"STEP_REG",2.06,7,0.12,3,1.04,5,7.06,7,6
"COSMIC",2.13,8,0.07,4,1.2,7,7.2,8,7
"SLOC",1.94,6,0,8,1.59,10,6.53,6,8
"LASSO",3.04,9,0,8,1.37,8,10.35,9,9
"UCP",3.08,10,0,8,1.55,9,10.47,10,10
