id,operation,element
1,displaystheviewpendingtasksscreen,displaystheviewpendingtasksscreen
2,Choosestheoptiontoviewpendingtasksfromtheadministrator��sdashboard,displaystheviewpendingtasksscreen
3,invalidinformationisdisplayedtotheuser,displaystheviewpendingtasksscreen
4,Displaystasksdetailsandassignee,displaystheviewpendingtasksscreen
5,Choosesproject,Object1
6,Selectssubmit,Object1
7,Hompage,Hompage
8,Logininpage,Hompage
9,showconfirmationpage,Hompage
10,opensuptothesignuppage,Hompage
11,attemptstoverifytheinputs,attemptstoverifytheinputs
12,Inputsdesiredinformationandselectstheupdateoption,attemptstoverifytheinputs
13,invalidinformationisdisplayedtotheuser,attemptstoverifytheinputs
14,selectstheexportbutton,attemptstoverifytheinputs
15,receiveaninappnotification,attemptstoverifytheinputs
16,Addscommenttotheminute,attemptstoverifytheinputs
17,Displaysmessagetotheusertonotifythem,attemptstoverifytheinputs
18,submitstheinformationtobeapprovedbyanadministrator,attemptstoverifytheinputs
19,openstextboxforusertoinputcomment,attemptstoverifytheinputs
20,Choosesameeting,Choosesameeting
21,Meetingissavedontheadministrator��sandroiddeviceinPDFformat,Choosesameeting
22,displaysthegeneratemeetingscreen,Choosesameeting
23,Choosesacreatedmeetingforwhichtopublishandthenselectsthepublishbutton,Choosesameeting
24,Publishesameeting,Choosesameeting
25,OpenstheConstructionMeetingMinutesAndroidapplication,Choosesameeting
26,Choosestheoptiontoviewstatusofcomment,Choosesameeting
27,Selectsassignedtask,Selectsassignedtask
28,Inputscommentforselectedtask,Selectsassignedtask
29,Choosestheoptiontoviewassigntask,Selectsassignedtask
30,displaystheviewassigntasksscreen,Selectsassignedtask
31,Displaysmeetingdetailsandassignee,Selectsassignedtask
