NUM,PROJ,Tran_Num,UseCase_Num,Activity_Num,Actor_Num,Avg_Actor,Boundary_Num,ControlNum,Entity_Num,Component_num,Attribute_num,Operation_num,class_num,Top_Level_Classes,Average_Depth_Inheritance_Tree,Average_Number_Of_Children_Per_Base_Class,Number_Of_Inheritance_Relationships,Depth_Inheritance_Tree,para_num,usage_num,real_num,assoc_num,externaloper_num,objectdata_num,avg_operation,avg_attribute,avg_parameter,avg_usage,avg_real,avg_assoc,avg_instVar,weightedoper_num,method_size,EI,EQ,INT,DM,CTRL,EXTIVK,EXTCLL,TRAN_NA,NT,Avg_TL,Avg_TD,Arch_Diff,Type,Effort_Norm,Norm_Factor,KSLOC,Effort,UAW,TCF,EF,Simple_UC, Average_UC, Complex_UC, Effort_Norm_UCP, Effort_Norm_COCOMO, UUCP, UCP,EUCP,EXUCP,DUCP,SWTI,SWTII,SWTIII,NOET,NOAAE,NORT,NEM,NSR,NOA,NOS,WMC,MPC,NOCH,DIT,CBO,NIVPC,NUMS,NCI,NCIF,RR,NTLC,ANWMC,ADIT,NOCPBC,EIF,ILF,DET,FTR,NT,NOC,NOA,NOA,NOUC,NOR,ANAPUC,ANRPUC,UCP,NOC,NOIR,NOUR,NORR,NOM,NOP,NOCAL,NOASSOC,ANMC,ANPC,ANCAC,ANASSOCC,ANRELC,NOC,NOAPC,NODET,NORET,NOA,NOMPC,NPPM,NMT,Num_User_Story, Num_Tasks, project_manager_estimate, developer_estimate,transaction_file
1,f14a_cash_doctor,58,20,131,0,0,54,62,63,100,35,0,63,63,0,0,0,0,0,0,0,0,0,5,0,0.555555556,0,0,0,0,0.555555556,0,0,0,0,6,0,6,0,6,52,6,26,1.623143746,42.20173741,Unknown,NA,NA,NA,724,0,1,1,1,4,5,0,0,120,120,155,138,107,155,138,107,0,35,0,0,0,0,10,0,0,0,0,0,0.555555556,0,0,0,0,63,0,0,0,0,0,0,0,5,63,0,0,10,0,0,0,0,63,0,0,0,0,0,35,0,0,0,0.555555556,0,0,63,0.555555556,0,0,0,0,0,0,0,0,0,0,C:\Users\flyqk\Documents\Google Drive\ResearchSpace\Research Projects\UMLx\data\577 Projects\2014-2015\xmls\f14a_cash_doctor/2018-7-12@1534135045410\transactionAnalysis.csv
1,f14a_gotrla,112,20,175,0,0,72,66,80,133,80,0,80,80,0,0,0,0,0,0,0,0,0,7,0,1,0,0,0,0,1,0,0,0,0,18,0,18,0,18,94,18,30.61111111,1.714138788,52.4716929,Unknown,NA,NA,NA,482,0,1,1,0,0,10,0,0,150,150,135,120,93,135,120,93,0,80,0,0,0,0,10,0,0,0,0,0,1,0,0,0,0,80,0,0,0,0,0,0,0,9,80,0,0,10,0,0,0,0,80,0,0,0,0,0,80,0,0,0,1,0,0,80,1,0,0,0,0,0,0,0,0,0,0,C:\Users\flyqk\Documents\Google Drive\ResearchSpace\Research Projects\UMLx\data\577 Projects\2014-2015\xmls\f14a_gotrla/2018-7-12@1534135045414\transactionAnalysis.csv
1,f14a_e_lock_box,450,32,519,0,0,233,148,109,351,165,0,109,109,0,0,0,0,0,0,0,0,0,18,0,1.513761468,0,0,0,0,1.513761468,0,0,1,0,80,1,81,0,81,369,81,28.19753086,2.748035802,77.48782434,Unknown,NA,NA,NA,125,0,1,1,0,0,16,0,0,240,240,240,227,198,240,227,198,0,165,0,0,0,0,16,0,0,0,0,0,1.513761468,0,0,0,0,109,0,0,0,0,0,0,0,39,109,0,0,16,0,0,0,0,109,0,0,0,0,0,165,0,0,0,1.513761468,0,0,109,1.513761468,0,0,0,0,0,0,0,0,0,0,C:\Users\flyqk\Documents\Google Drive\ResearchSpace\Research Projects\UMLx\data\577 Projects\2014-2015\xmls\f14a_e_lock_box/2018-7-12@1534135045414\transactionAnalysis.csv
1,F14a_mobile_application_for_mobile_controlled_lighting,27,10,59,0,0,22,28,33,45,0,0,33,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,4,23,4,23.5,1.51461039,35.59334416,Unknown,NA,NA,NA,257.5,0,1,1,1,0,4,0,0,65,65,70,57,43,70,57,43,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,6,33,0,0,5,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,C:\Users\flyqk\Documents\Google Drive\ResearchSpace\Research Projects\UMLx\data\577 Projects\2014-2015\xmls\F14a_mobile_application_for_mobile_controlled_lighting/2018-7-12@1534135045415\transactionAnalysis.csv
1,F14a_black_professionals_net,488,52,499,0,0,205,258,219,381,129,97,219,219,0,0,0,0,116,0,0,0,97,5,0.442922374,0.589041096,0.529680365,0,0,0,0.589041096,6.9,0,6,0,59,6,65,0,65,423,65,53.29230769,1.931809313,102.9505763,Unknown,NA,NA,NA,146.5,0,1,1,0,6,20,0,0,360,360,350,319,258,350,319,258,0,129,0,97,97,0,26,6.9,0.442922374,0,0,0,0.589041096,0,0,0,0,219,0.031506849,0,0,0,0,0,0,18,219,0,0,26,0,0,0,0,219,0,0,0,97,116,129,0,0.442922374,0.529680365,0.589041096,0,0,219,0.589041096,0,0,0,0,0.529680365,97,0,0,0,0,C:\Users\flyqk\Documents\Google Drive\ResearchSpace\Research Projects\UMLx\data\577 Projects\2014-2015\xmls\F14a_black_professionals_net/2018-7-12@1534135045407\transactionAnalysis.csv
1,F14a_REFERsy,62,20,137,0,0,59,56,56,100,13,0,56,56,0,0,0,0,0,0,0,0,0,6,0,0.232142857,0,0,0,0,0.232142857,0,0,0,0,21,0,21,0,21,41,21,10.95238095,1.664231675,18.22729929,Unknown,NA,NA,NA,NA,0,1,1,1,2,7,0,0,130,130,125,106,82,125,106,82,0,13,0,0,0,0,10,0,0,0,0,0,0.232142857,0,0,0,0,56,0,0,0,0,0,0,0,1,56,0,0,10,0,0,0,0,56,0,0,0,0,0,13,0,0,0,0.232142857,0,0,56,0.232142857,0,0,0,0,0,0,0,0,0,0,C:\Users\flyqk\Documents\Google Drive\ResearchSpace\Research Projects\UMLx\data\577 Projects\2014-2015\xmls\F14a_REFERsy/2018-7-12@1534135766038\transactionAnalysis.csv
1,F14a_sharethetraining_com,91,26,191,0,0,78,92,73,143,99,31,73,73,0,0,0,0,31,0,0,0,31,6,0.424657534,1.356164384,0.424657534,0,0,0,1.356164384,3.3,0,1,0,23,1,24,0,24,67,24,16,1.560796506,24.97274409,Unknown,NA,NA,NA,571,0,1,1,1,3,9,0,0,170,170,150,132,102,150,132,102,0,99,0,31,31,0,13,3.3,0.424657534,0,0,0,1.356164384,0,0,0,0,73,0.045205479,0,0,0,0,0,0,9,73,0,0,13,0,0,0,0,73,0,0,0,31,31,99,0,0.424657534,0.424657534,1.356164384,0,0,73,1.356164384,0,0,0,0,0.424657534,31,0,0,0,0,C:\Users\flyqk\Documents\Google Drive\ResearchSpace\Research Projects\UMLx\data\577 Projects\2014-2015\xmls\F14a_sharethetraining_com/2018-7-12@1534135766044\transactionAnalysis.csv
1,F14a_soccer_data_web_crawler,45,16,103,0,0,36,48,29,82,1,0,29,29,0,0,0,0,0,0,0,0,0,1,0,0.034482759,0,0,0,0,0.034482759,0,0,0,0,0,0,0,0,0,45,0,0,0,0,Unknown,NA,NA,NA,NA,0,1,1,1,0,7,0,0,110,110,115,110,90,115,110,90,0,1,0,0,0,0,8,0,0,0,0,0,0.034482759,0,0,0,0,29,0,0,0,0,0,0,0,9,29,0,0,8,0,0,0,0,29,0,0,0,0,0,1,0,0,0,0.034482759,0,0,29,0.034482759,0,0,0,0,0,0,0,0,0,0,C:\Users\flyqk\Documents\Google Drive\ResearchSpace\Research Projects\UMLx\data\577 Projects\2014-2015\xmls\F14a_soccer_data_web_crawler/2018-7-12@1534135766044\transactionAnalysis.csv
1,F14a_snapp_voice_communication_system,55,16,131,0,0,49,60,65,91,0,0,65,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,15,2,18,0,17,37,18,11.38888889,1.603720957,18.26459979,Unknown,NA,NA,NA,103,0,1,1,2,2,4,0,0,90,90,105,93,72,105,93,72,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,10,65,0,0,8,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,C:\Users\flyqk\Documents\Google Drive\ResearchSpace\Research Projects\UMLx\data\577 Projects\2014-2015\xmls\F14a_snapp_voice_communication_system/2018-7-12@1534135766043\transactionAnalysis.csv
1,F14a_tipsure_com,80,16,185,0,0,67,90,81,144,0,0,81,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,79,1,50,1.925,96.25,Unknown,NA,NA,NA,266,0,1,1,1,0,7,0,0,110,110,125,115,96,125,115,96,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,81,0,0,0,0,0,0,0,14,81,0,0,8,0,0,0,0,81,0,0,0,0,0,0,0,0,0,0,0,0,81,0,0,0,0,0,0,0,0,0,0,0,C:\Users\flyqk\Documents\Google Drive\ResearchSpace\Research Projects\UMLx\data\577 Projects\2014-2015\xmls\F14a_tipsure_com/2018-7-12@1534135766045\transactionAnalysis.csv
1,F14a_women_at_work_website_redesign,39,16,102,0,0,38,58,54,78,27,0,54,54,0,0,0,0,0,0,0,0,0,6,0,0.5,0,0,0,0,0.5,0,0,0,0,6,0,6,0,6,33,6,25,1.57448202,39.36205049,Unknown,NA,NA,NA,140.5,0,1,1,4,1,3,0,0,75,75,120,108,84,120,108,84,0,27,0,0,0,0,8,0,0,0,0,0,0.5,0,0,0,0,54,0,0,0,0,0,0,0,3,54,0,0,8,0,0,0,0,54,0,0,0,0,0,27,0,0,0,0.5,0,0,54,0.5,0,0,0,0,0,0,0,0,0,0,C:\Users\flyqk\Documents\Google Drive\ResearchSpace\Research Projects\UMLx\data\577 Projects\2014-2015\xmls\F14a_women_at_work_website_redesign/2018-7-12@1534135766046\transactionAnalysis.csv
1,F15a_combat_conflict,35,14,76,0,0,34,28,40,57,0,0,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10,0,10,25,10,12.2,1.549810745,18.90769109,Unknown,NA,NA,NA,1281,0,1,1,4,0,3,0,0,65,65,90,75,57,90,75,57,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,3,40,0,0,7,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,C:\Users\flyqk\Documents\Google Drive\ResearchSpace\Research Projects\UMLx\data\577 Projects\2014-2015\xmls\F15a_combat_conflict/2018-7-12@1534139001744\transactionAnalysis.csv
1,F15a_construction_meeting_minutes_application,143,36,250,0,0,97,96,125,191,5,0,125,125,0,0,0,0,0,0,0,0,0,3,0,0.04,0,0,0,0,0.04,0,0,1,0,23,1,24,0,24,119,24,23.375,1.644323003,38.4360502,Unknown,NA,NA,NA,1482.5,0,1,1,1,4,13,0,0,240,240,245,210,161,245,210,161,0,5,0,0,0,0,18,0,0,0,0,0,0.04,0,0,0,0,125,0,0,0,0,0,0,0,5,125,0,0,18,0,0,0,0,125,0,0,0,0,0,5,0,0,0,0.04,0,0,125,0.04,0,0,0,0,0,0,0,0,0,0,C:\Users\flyqk\Documents\Google Drive\ResearchSpace\Research Projects\UMLx\data\577 Projects\2014-2015\xmls\F15a_construction_meeting_minutes_application/2018-7-12@1534139001750\transactionAnalysis.csv
1,F15a_linggo,37,12,114,4,0,44,62,48,88,28,20,48,48,0,0,0,0,51,0,0,0,20,0,0.416666667,0.583333333,1.0625,0,0,0,0.583333333,1.8,0,0,0,14,0,16,0,14,21,16,9.625,2.127659528,20.47872295,Unknown,NA,NA,NA,NA,0,1,1,2,1,3,0,0,65,65,100,93,78,100,93,78,0,28,0,20,20,0,6,1.8,0.416666667,0,0,0,0.583333333,0,0,0,0,48,0.0375,0,0,0,0,0,0,5,48,0,0,6,1,0.166666667,0.166666667,0,48,0,0,0,20,51,28,0,0.416666667,1.0625,0.583333333,0,0,48,0.583333333,0,0,0,0,1.0625,20,0,0,0,0,C:\Users\flyqk\Documents\Google Drive\ResearchSpace\Research Projects\UMLx\data\577 Projects\2014-2015\xmls\F15a_linggo/2018-7-12@1534139001751\transactionAnalysis.csv
1,F15a_nice_ecommerse,127,48,263,1,0,101,118,127,198,0,0,127,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,24,3,27,0,27,100,27,17.03703704,1.536312885,26.17421953,Unknown,NA,NA,NA,617,0,1,1,9,7,8,0,0,235,235,315,270,207,315,270,207,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,127,0,0,0,0,0,0,0,5,127,0,0,24,0,0,0,0,127,0,0,0,0,0,0,0,0,0,0,0,0,127,0,0,0,0,0,0,0,0,0,0,0,C:\Users\flyqk\Documents\Google Drive\ResearchSpace\Research Projects\UMLx\data\577 Projects\2014-2015\xmls\F15a_nice_ecommerse/2018-7-12@1534139001751\transactionAnalysis.csv
1,F15a_tour_conductor,34,16,83,0,0,35,34,43,64,21,0,43,43,0,0,0,0,0,0,0,0,0,4,0,0.488372093,0,0,0,0,0.488372093,0,0,0,0,8,0,8,0,8,26,8,11.5,1.39702381,16.06577381,Unknown,NA,NA,NA,1347,0,1,1,4,2,2,0,0,70,70,105,91,71,105,91,71,0,21,0,0,0,0,8,0,0,0,0,0,0.488372093,0,0,0,0,43,0,0,0,0,0,0,0,6,43,0,0,8,0,0,0,0,43,0,0,0,0,0,21,0,0,0,0.488372093,0,0,43,0.488372093,0,0,0,0,0,0,0,0,0,0,C:\Users\flyqk\Documents\Google Drive\ResearchSpace\Research Projects\UMLx\data\577 Projects\2014-2015\xmls\F15a_tour_conductor/2018-7-12@1534139268999\transactionAnalysis.csv
1,S15b_mission_science_irobots,52,20,125,0,0,50,70,45,95,3,16,45,45,0,0,0,0,20,0,0,0,16,0,0.355555556,0.066666667,0.444444444,0,0,0,0.066666667,0.9,0,0,0,10,0,10,0,10,42,10,24.4,1.574238728,38.41142497,Unknown,NA,NA,NA,759,0,1,1,0,9,1,0,0,105,105,145,126,97,145,126,97,0,3,0,16,16,0,10,0.9,0.355555556,0,0,0,0.066666667,0,0,0,0,45,0.02,0,0,0,0,0,0,5,45,0,0,10,0,0,0,0,45,0,0,0,16,20,3,0,0.355555556,0.444444444,0.066666667,0,0,45,0.066666667,0,0,0,0,0.444444444,16,0,0,0,0,C:\Users\flyqk\Documents\Google Drive\ResearchSpace\Research Projects\UMLx\data\577 Projects\2014-2015\xmls\S15b_mission_science_irobots/2018-7-12@1534139269002\transactionAnalysis.csv
1,s15b_snap_valet,199,22,294,0,0,139,110,93,221,48,0,93,93,0,0,0,0,0,0,0,0,0,6,0,0.516129032,0,0,0,0,0.516129032,0,0,1,0,37,1,39,0,38,160,39,26.1025641,1.84098357,48.05439164,Unknown,NA,NA,NA,302.5,0,1,1,0,0,11,0,0,165,165,160,148,122,160,148,122,0,48,0,0,0,0,11,0,0,0,0,0,0.516129032,0,0,0,0,93,0,0,0,0,0,0,0,23,93,0,0,11,0,0,0,0,93,0,0,0,0,0,48,0,0,0,0.516129032,0,0,93,0.516129032,0,0,0,0,0,0,0,0,0,0,C:\Users\flyqk\Documents\Google Drive\ResearchSpace\Research Projects\UMLx\data\577 Projects\2014-2015\xmls\s15b_snap_valet/2018-7-12@1534139269007\transactionAnalysis.csv
1,S15b_we_are_trojans_network,163,18,198,0,0,80,92,81,154,139,197,81,81,0,0,0,0,197,0,0,0,197,0,2.432098765,1.716049383,2.432098765,0,0,0,1.716049383,3.9,0,0,0,23,0,23,0,23,140,23,40.30434783,1.79724436,72.43676182,Unknown,NA,NA,NA,1965,0,1,1,0,0,9,0,0,135,135,125,108,83,125,108,83,0,139,0,197,197,0,9,3.9,2.432098765,0,0,0,1.716049383,0,0,0,0,81,0.048148148,0,0,0,0,0,0,11,81,0,0,9,0,0,0,0,81,0,0,0,197,197,139,0,2.432098765,2.432098765,1.716049383,0,0,81,1.716049383,0,0,0,0,2.432098765,197,0,0,0,0,C:\Users\flyqk\Documents\Google Drive\ResearchSpace\Research Projects\UMLx\data\577 Projects\2014-2015\xmls\S15b_we_are_trojans_network/2018-7-12@1534139269008\transactionAnalysis.csv
1,s16b_combat_conflict,35,14,76,0,0,34,28,40,57,0,0,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10,0,10,25,10,12.2,1.549810745,18.90769109,Unknown,NA,NA,NA,NA,0,1,1,4,0,3,0,0,65,65,90,75,57,90,75,57,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,3,40,0,0,7,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,C:\Users\flyqk\Documents\Google Drive\ResearchSpace\Research Projects\UMLx\data\577 Projects\2014-2015\xmls\s16b_combat_conflict/2018-7-12@1534139463435\transactionAnalysis.csv
