Team. NO.,Semester,PROJ,Type,PREC,FLEX,RESL,TEAM,PMAT,RELY,DATA,CPLX,RUSE,DOCU,TIME,STOR,PVOL,ACAP,PCAP,PCON,APEX,PLEX,LTEX,TOOL,SITE,SCED
1,fall2015/spring2016,s16b_Picshare_RA,Mobile&Web App,L,H,H,VH,N,N,H,N,L,N,N,N,L,H,H,VH,N,N,N,N,N,N
2,fall2015/spring2016,s16b_Picshare_AA,Mobile&Web App,L,H,H,VH,N,N,H,N,L,N,N,N,L,H,H,VH,N,N,N,N,N,N
3,fall2015,F15a_linggo,Web App,L,N,N,H,N,H,L,H,H,H,N,N,L,N,N,L,N,N,N,N,H,N
4,fall2015,F15a_combat_conflict,Web App,H,H,N,H,N,N,L,L,H,N,N,N,N,N,N,H,L,L,VL,H,H,VL
5,fall2015,F15a_tour_conductor,Web App,H,H,L,H,L,N,N,N,VH,L,N,N,L,H,H,VH,L,L,N,VH,EXH,N
6,fall2015,F15a_construction_meeting_minutes_application,Mobile App,N,N,H,N,N,N,L,N,N,N,N,N,L,N,H,H,N,N,H,N,H,N
7,fall2015,F15a_nice_ecommerse,Web App,L,L,L,L,N,L,N,N,N,N,N,N,N,N,N,N,L,N,L,L,N,N
2,fall2014,F14a_soccer_data_web_crawler,Web App,L,H,N,H,N,VH,H,H,H,N,N,N,L,H,N,VH,L,L,N,L,H,N
5,fall2014,F14a_snapp_voice_communication_system,web App,N,N,H,H,N,N,L,N,N,N,N,N,L,N,H,H,L,N,VL,N,H,N
6,fall2014,F14a_black_professionals_net,web App,H,H,H,VH,N,H,H,N,L,N,N,H,L,H,L,L,H,L,L,N,VH,N
8,fall2014,f14a_e_lock_box,web App,N,H,N,N,H,H,N,N,H,N,N,N,L,N,N,VH,L,N,L,N,H,N
9,fall2014,F14a_tipsure_com,web App,H,L,N,N,N,L,L,L,L,N,N,N,L,N,N,VH,H,N,H,L,VH,N
11,fall2014,F14a_sharethetraining_com,web App,H,H,N,H,N,N,L,L,N,N,N,H,N,N,L,VH,L,N,N,N,H,N
13,fall2014,F14a_mobile_application_for_mobile_controlled_lighting,Mobile App,N,N,L,H,N,N,L,L,L,L,N,N,L,VH,VH,VL,H,N,H,H,VH,N
14,fall2014,F14a_women_at_work_website_redesign,Web App,L,H,H,H,L,N,L,N,L,N,N,H,L,H,H,VH,N,N,N,H,EXH,N
15,fall2014,f14a_gotrla,Mobile App,N,N,N,H,N,N,L,N,L,N,N,H,L,N,N,VL,N,N,N,N,VH,N
1,fall2014/spring2015,S15b_we_are_trojans_network,Web App,H,H,N,H,N,N,L,N,N,N,N,N,N,H,H,VH,N,N,H,N,H,N
7,fall2014/spring2015,S15b_mission_science_irobots,Desktop App,N,VH,N,H,N,N,L,N,L,N,H,N,L,N,H,H,H,H,N,H,VH,N
4,fall2014/spring2015,S16b_flower_seeker,Web App,L,N,L,VH,N,H,H,N,L,N,N,N,N,N,L,VH,L,VL,L,N,H,N
10,fall2014/spring2015,F14a_REFERsy,Web App,H,VH,H,VH,N,N,VH,N,L,L,EXH,N,H,H,VH,H,H,L,VH,VH,VH,N
12,fall2014/spring2015,f14a_cash_doctor,Mobile App,N,N,H,H,N,N,H,N,L,N,N,N,H,H,H,VH,N,N,N,N,VH,N
3,fall2014/spring2015,s15b_snap_valet,Mobile App,H,H,L,H,L,N,H,N,VH,N,N,N,L,H,H,H,L,VH,L,VH,EXH,N
1,spring2014,s14b_location_based_ad,Mobile&Web App,N,N,H,H,N,N,H,H,N,H,N,N,N,H,N,VL,L,N,N,N,H,N
3,spring2016,s16_bad_driver,Mobile&Web App,N,N,L,N,N,H,H,N,N,H,H,H,N,H,N,L,N,N,N,N,N,N
4,spring2017,s17_tikiman_go,Mobile Game,L,H,L,N,N,L,L,N,L,H,N,N,N,N,N,L,N,N,N,N,N,N
