"","mean","se","t","median","CrI","CrI"
"l1",2.52,1,2.51,2.65,0.52,4.18
"l2",2.56,0.97,2.64,2.62,0.49,4.17
"l3",4.86,2.82,1.73,3.64,2.52,12.78
"l4",4.8,1.02,4.69,4.59,3.42,7.8
"l5",19.03,8.17,2.33,15.5,9.7,37.02
"l6",8.09,4.8,1.69,9.43,-5.88,13.65
"l7",18.83,4.24,4.44,19.72,7.57,24.38
"sd",1231.11,619.72,1.99,1220.96,280.1,2170.88
"effortAdj",33.69,2.05,16.44,32.97,31.04,37.68
"sd",1231.11,619.72,1.99,1220.96,280.1,2170.88
