"","SWTI","SWTII","SWTIII","UUCP","AFP","COSMIC","SLOC","LOG_SLOC"
"SWTI",NA,0,0,0.021,0,0,0,0.006
"SWTII",0,NA,0,0.009,0,0,0,0.003
"SWTIII",0,0,NA,0.01,0,0,0,0.002
"UUCP",0.021,0.009,0.01,NA,0.016,0.031,0.029,0.015
"AFP",0,0,0,0.016,NA,0,0,0.001
"COSMIC",0,0,0,0.031,0,NA,0.004,0.013
"SLOC",0,0,0,0.029,0,0.004,NA,0
"LOG_SLOC",0.006,0.003,0.002,0.015,0.001,0.013,0,NA
