"","MMRE","rank1","PRED25","rank2","MAE","rank3","MDMRE","rank4","rank*"
"1",0.95,1,0.13,2,21133.76,1,0.78,1,1
"2",1.27,6,0.17,1,26028.94,5,0.94,4,4
"3",1.05,2,0.04,6,24958.59,3,0.94,3,3
"4",1.17,4,0.04,5,26160.92,6,0.95,5,6
"5",1.08,3,0.07,3,21913.84,2,0.92,2,2
"6",1.22,5,0.06,4,25174.75,4,0.97,6,5
