id,element,attributeNum,operationNum,diagram
1,Call logs,0,0,Domain Objects
2,Call Recordings,0,0,Domain Objects
3,calls,0,0,Domain Objects
4,Lead/customer status,0,0,Domain Objects
5,Create agent form,0,0,Domain Objects
6,Sales Agent Profile,0,0,Domain Objects
7,Manager profile,0,0,Domain Objects
8,Agent manager mapping,0,0,Domain Objects
9,Lead/customer with agent mapping,0,0,Domain Objects
10,Lead customer profile,0,0,Domain Objects
