id,operation,element
1,User,User
2,updateusertodatabase,User
3,addnewcoursepage,addnewcoursepage
4,showconfirmationcourseisadded,addnewcoursepage
5,course,addnewcoursepage
6,Loginpage,addnewcoursepage
7,homepage,addnewcoursepage
8,addnewuser,addnewcoursepage
9,initialpage,addnewcoursepage
10,updatepage,addnewcoursepage
11,additionfails,additionfails
12,updatefails,additionfails
13,deletionsuccessmessage,deletionsuccessmessage
14,deletebutton,deletionsuccessmessage
15,showconfirmationcourseisdeleted,deletionsuccessmessage
16,deletioncannotfinish,deletionsuccessmessage
17,retrieveinformationassociatedwithusername,deletionsuccessmessage
18,showmessagethatsenssionwasclosed,deletionsuccessmessage
19,notappropriatemessage,deletionsuccessmessage
20,theusercannotbedeleteerrormessage,deletionsuccessmessage
21,requirementslists,requirementslists
22,showconfirmationthenewrequirementisadded,requirementslists
23,showspecifiedrequirementsbyparameters,requirementslists
24,logoutbutton,logoutbutton
25,logoutmessage,logoutbutton
26,choosedegreeandyearbutton,logoutbutton
27,incorrectinput,incorrectinput
28,checkcorrectnessofthedata,incorrectinput
29,redirecttoinitialpage,incorrectinput
