id,element,useCase,type,component
1,Weight loser:redirect to login page,Login,control,redirecttheusertocreatgoalpage
2,Weight loser:credential already exist,Login,control,redirecttheusertocreatgoalpage
3,Weight loser:Home page,Login,boundary,Homepage
4,Weight loser:exceed the time limite,Login,control,exceedthetimelimite
5,Weight loser:"URL expired" message,Login,boundary,Homepage
6,Weight loser:invlid pattern,Login,boundary,invlidpattern
7,Weight loser:login page,Login,boundary,Homepage
8,Weight loser:new password page,Login,boundary,Homepage
9,Weight loser:email doesn't exist,Login,actor,emailprototocol
10,Weight loser:forgot password page,Login,boundary,Homepage
11,check url validity:"URL expired" message,Login,boundary,Homepage
12,redirect the user to homepage:Home page,Login,boundary,Homepage
13,check email and password valid:invlid pattern,Login,boundary,invlidpattern
14,check email and password valid:check time limit,Login,control,exceedthetimelimite
15,check email and password valid:user info,Login,boundary,invlidpattern
16,login page:check email and password valid,Login,actor,emailprototocol
17,check if password matches:update the user's password,Login,control,redirecttheusertocreatgoalpage
18,check if password matches:user info,Login,boundary,invlidpattern
19,check if password matches:redirect to login page,Login,control,redirecttheusertocreatgoalpage
20,new password page:check if password matches,Login,boundary,errorinaccessfacebookinformation
21,check if supplied credentials exist:user info,Login,boundary,invlidpattern
22,check if supplied credentials exist:redirect the user to homepage,Login,control,redirecttheusertocreatgoalpage
23,check if supplied credentials exist:credential already exist,Login,control,redirecttheusertocreatgoalpage
24,check time limit:check if supplied credentials exist,Login,control,exceedthetimelimite
25,check time limit:exceed the time limite,Login,control,exceedthetimelimite
26,check time limit:user info,Login,boundary,invlidpattern
27,check time limit:goal,Login,entity,goal
28,check url validity:email doesn't exist,Login,actor,emailprototocol
29,check url validity:redirect to new password page,Login,control,redirecttheusertocreatgoalpage
30,check url validity:user info,Login,boundary,invlidpattern
31,forgot password page:check url validity,Login,boundary,invokeaddcharityusecase
32,generate a url with random token:forgot password page,Login,boundary,Homepage
33,redirect to forgot password page:generate a url with random token,Login,control,generateaurlwithrandomtoken
34,login page:redirect to forgot password page,Login,control,redirecttheusertocreatgoalpage
35,redirect to new password page:new password page,Login,boundary,Homepage
36,update the user's password:redirect to login page,Login,control,redirecttheusertocreatgoalpage
37,update the user's password:user info,Login,boundary,invlidpattern
38,stl#Weight loser:redirect to login page,Login,Stimulus,undefined
39,stl#Weight loser:credential already exist,Login,Stimulus,undefined
40,stl#Weight loser:Home page,Login,Stimulus,undefined
41,stl#Weight loser:exceed the time limite,Login,Stimulus,undefined
42,stl#Weight loser:"URL expired" message,Login,Stimulus,undefined
43,stl#Weight loser:invlid pattern,Login,Stimulus,undefined
44,stl#Weight loser:login page,Login,Stimulus,undefined
45,stl#Weight loser:new password page,Login,Stimulus,undefined
46,stl#Weight loser:email doesn't exist,Login,Stimulus,undefined
47,stl#Weight loser:forgot password page,Login,Stimulus,undefined
